query	nearest_type_strain	nearest_type_species	mash_dist	call	ncbi_name	revised_species	agrees_with_revision
GCF_037897415.1	GCA_056823795.1	Fusobacterium animalis	0.031518	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897425.1	GCA_056823795.1	Fusobacterium animalis	0.031467	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897485.1	GCA_056823795.1	Fusobacterium animalis	0.033421	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897495.1	GCA_001457555.1	Fusobacterium polymorphum	0.027008	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037897505.1	GCA_056823795.1	Fusobacterium animalis	0.032281	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897515.1	GCA_056823795.1	Fusobacterium animalis	0.030520	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897535.1	GCA_056823795.1	Fusobacterium animalis	0.032575	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897545.1	GCA_056823795.1	Fusobacterium animalis	0.027715	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037897555.1	GCA_001457555.1	Fusobacterium polymorphum	0.027938	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037897565.1	GCA_001457555.1	Fusobacterium polymorphum	0.034721	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037897635.1	GCA_001457555.1	Fusobacterium polymorphum	0.028162	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037897925.1	GCA_001457555.1	Fusobacterium polymorphum	0.029784	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037898185.1	GCA_001457555.1	Fusobacterium polymorphum	0.036382	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037900345.1	GCA_037900345.1	Fusobacterium nucleatum	0.000000	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	1
GCF_037900625.1	GCA_037900625.1	Fusobacterium polymorphum	0.000000	Fusobacterium polymorphum	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum	1
GCF_037901015.1	GCA_000158315.2	Fusobacterium ulcerans	0.076993		Fusobacterium varium	Fusobacterium heteroulcerans	
GCF_037904495.1	GCA_001457555.1	Fusobacterium polymorphum	0.035365	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037904575.1	GCA_056823795.1	Fusobacterium animalis	0.026956	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037904585.1	GCA_900450795.1	Fusobacterium vincentii	0.019821	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037904595.1	GCA_056823795.1	Fusobacterium animalis	0.031457	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037904605.1	GCA_001457555.1	Fusobacterium polymorphum	0.037249	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037904615.1	GCA_000279975.1	Fusobacterium vincentii	0.017677	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037904725.1	GCA_056823795.1	Fusobacterium animalis	0.030569	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037904935.1	GCA_001457555.1	Fusobacterium polymorphum	0.034551	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037905245.1	GCA_056823795.1	Fusobacterium animalis	0.031185	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037905975.1	GCA_001457555.1	Fusobacterium polymorphum	0.027346	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037906325.1	GCA_001457555.1	Fusobacterium polymorphum	0.033291	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037906355.1	GCA_056823795.1	Fusobacterium animalis	0.030955	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037906365.1	GCA_001457555.1	Fusobacterium polymorphum	0.026035	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037906395.1	GCA_056823795.1	Fusobacterium animalis	0.032281	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037906465.1	GCA_056823795.1	Fusobacterium animalis	0.030490	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037907055.1	GCA_056823795.1	Fusobacterium animalis	0.032797	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037908355.1	GCA_056823795.1	Fusobacterium animalis	0.032818	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037909675.1	GCA_056823795.1	Fusobacterium animalis	0.030885	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911025.1	GCA_056823795.1	Fusobacterium animalis	0.030441	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911815.1	GCA_056823795.1	Fusobacterium animalis	0.031549	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911825.1	GCA_900450795.1	Fusobacterium vincentii	0.018980	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037911835.1	GCA_900450795.1	Fusobacterium vincentii	0.018570	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037911845.1	GCA_056823795.1	Fusobacterium animalis	0.030285	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911855.1	GCA_056823795.1	Fusobacterium animalis	0.031477	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911865.1	GCA_900450795.1	Fusobacterium vincentii	0.017999	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_037911875.1	GCA_056823795.1	Fusobacterium animalis	0.030915	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911885.1	GCA_056823795.1	Fusobacterium animalis	0.031064	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911895.1	GCA_001457555.1	Fusobacterium polymorphum	0.027329	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037911905.1	GCA_056823795.1	Fusobacterium animalis	0.026768	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911915.1	GCA_056823795.1	Fusobacterium animalis	0.027190	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911925.1	GCA_056823795.1	Fusobacterium animalis	0.031549	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911935.1	GCA_056823795.1	Fusobacterium animalis	0.025968	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911945.1	GCA_056823795.1	Fusobacterium animalis	0.030178	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911955.1	GCA_056823795.1	Fusobacterium animalis	0.030363	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911965.1	GCA_001457555.1	Fusobacterium polymorphum	0.034778	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037911975.1	GCA_056823795.1	Fusobacterium animalis	0.030905	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037911985.1	GCA_001457555.1	Fusobacterium polymorphum	0.034281	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037911995.1	GCA_001457555.1	Fusobacterium polymorphum	0.034540	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037912005.1	GCA_001457555.1	Fusobacterium polymorphum	0.028901	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037912015.1	GCA_001457555.1	Fusobacterium polymorphum	0.034597	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_037912025.1	GCA_056823795.1	Fusobacterium animalis	0.031396	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037912275.1	GCA_056823795.1	Fusobacterium animalis	0.029632	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_037951365.1	GCA_031191795.1	Fusobacterium nucleatum	0.009748	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037952305.1	GCA_031191795.1	Fusobacterium nucleatum	0.008877	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037953125.1	GCA_031191795.1	Fusobacterium nucleatum	0.009499	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037953465.1	GCA_000158315.2	Fusobacterium ulcerans	0.075466		Fusobacterium varium	Fusobacterium heteroulcerans	
GCF_037953935.1	GCA_049381025.1	Fusobacterium watanabei	0.009687	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037954595.1	GCA_049381025.1	Fusobacterium watanabei	0.012465	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037954885.1	GCA_049381025.1	Fusobacterium watanabei	0.011662	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037955165.1	GCA_049381025.1	Fusobacterium watanabei	0.012767	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_037955445.1	GCA_031191795.1	Fusobacterium nucleatum	0.008335	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_037955985.1	GCA_008801775.1	Fusobacterium necrophorum	0.015746	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_037956035.1	GCA_000158315.2	Fusobacterium ulcerans	0.076993		Fusobacterium ulcerans	Fusobacterium heteroulcerans	
GCF_037975335.1	GCA_049381025.1	Fusobacterium watanabei	0.013267	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_040097185.1	GCA_900637705.1	Fusobacterium varium	0.011911	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_040199715.1	GCA_900450765.1	Fusobacterium necrogenes	0.170926		Fusobacterium sp. SYSU M8D902	Fusobacterium sp. SYSU M8D902	
GCF_041027385.1	GCA_056823795.1	Fusobacterium animalis	0.031569	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041027405.1	GCA_056823795.1	Fusobacterium animalis	0.030925	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041027465.1	GCA_056823795.1	Fusobacterium animalis	0.032882	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041027495.1	GCA_900450795.1	Fusobacterium vincentii	0.019074	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_041027535.1	GCA_056823795.1	Fusobacterium animalis	0.030925	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041433815.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.043360		Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	
GCF_041520925.1	GCA_056823795.1	Fusobacterium animalis	0.036806	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041520955.1	GCA_056823795.1	Fusobacterium animalis	0.032041	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041521005.1	GCA_056823795.1	Fusobacterium animalis	0.031124	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_041537885.1	GCA_031191795.1	Fusobacterium nucleatum	0.011242	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_042851185.1	GCA_003019675.1	Fusobacterium ulcerans	0.015166	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_043420975.1	GCA_900450795.1	Fusobacterium vincentii	0.002541	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_043421055.1	GCA_056823795.1	Fusobacterium animalis	0.033760	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_044987705.1	GCA_000622245.1	Fusobacterium perfoetens	0.228939		Fusobacterium sp. MFO224	Fusobacterium sp. MFO224	
GCF_045159905.1	GCA_056823795.1	Fusobacterium animalis	0.033312	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159915.1	GCA_056823795.1	Fusobacterium animalis	0.030490	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159925.1	GCA_900450795.1	Fusobacterium vincentii	0.018011	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_045159935.1	GCA_056823795.1	Fusobacterium animalis	0.032543	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159945.1	GCA_056823795.1	Fusobacterium animalis	0.032522	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159955.1	GCA_056823795.1	Fusobacterium animalis	0.030569	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159965.1	GCA_000279975.1	Fusobacterium vincentii	0.018905	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_045159975.1	GCA_001457555.1	Fusobacterium polymorphum	0.027884	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_045159985.1	GCA_056823795.1	Fusobacterium animalis	0.030955	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_045159995.1	GCA_001457555.1	Fusobacterium polymorphum	0.027583	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_048313075.1	GCA_031191795.1	Fusobacterium nucleatum	0.010706	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_048313085.1	GCA_056823795.1	Fusobacterium animalis	0.032072	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_048313155.1	GCA_001457555.1	Fusobacterium polymorphum	0.027751	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_049380805.1	GCA_049381025.1	Fusobacterium watanabei	0.010905	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049380825.1	GCA_049381025.1	Fusobacterium watanabei	0.010896	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049380885.1	GCA_049381025.1	Fusobacterium watanabei	0.010861	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049380895.1	GCA_049381025.1	Fusobacterium watanabei	0.010758	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049380945.1	GCA_049381025.1	Fusobacterium watanabei	0.010209	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049380985.1	GCA_049381025.1	Fusobacterium watanabei	0.010901	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049381025.1	GCA_049381025.1	Fusobacterium watanabei	0.000000	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_049381045.1	GCA_049381025.1	Fusobacterium watanabei	0.006614	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_050219445.1	GCA_000622245.1	Fusobacterium perfoetens	0.226680		Fusobacterium sp. SB021	Fusobacterium sp. SB021	
GCF_050219895.1	GCA_056823795.1	Fusobacterium animalis	0.032166	Fusobacterium animalis	Fusobacterium animalis	Fusobacterium animalis	1
GCF_050231725.1	GCA_049381025.1	Fusobacterium watanabei	0.086053		Fusobacterium nucleatum	Fusobacterium sp. SB042	
GCF_050232215.1	GCA_001457555.1	Fusobacterium polymorphum	0.035681	Fusobacterium polymorphum	Fusobacterium polymorphum	Fusobacterium polymorphum	1
GCF_050232305.1	GCA_900450795.1	Fusobacterium vincentii	0.017981	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_050232845.1	GCA_900450795.1	Fusobacterium vincentii	0.019815	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_050233295.1	GCA_031191795.1	Fusobacterium nucleatum	0.009278	Fusobacterium nucleatum	Fusobacterium nucleatum	Fusobacterium nucleatum	1
GCF_050233405.1	GCA_900450795.1	Fusobacterium vincentii	0.019821	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_050233865.1	GCA_000279975.1	Fusobacterium vincentii	0.017623	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_050233995.1	GCA_031191795.1	Fusobacterium nucleatum	0.011893	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum	1
GCF_050433865.1	GCA_000279975.1	Fusobacterium vincentii	0.273629		Fusobacterium sp. PH5-29	Fusobacterium sp. PH5-29	
GCF_050434145.1	GCA_000279975.1	Fusobacterium vincentii	0.273629		Fusobacterium sp. PH5-44	Fusobacterium sp. PH5-29	
GCF_050920715.1	GCA_050920715.1	Fusobacterium nucleatum	0.000000	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	1
GCF_050920725.1	GCA_050920725.1	Fusobacterium polymorphum	0.000000	Fusobacterium polymorphum	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum	1
GCF_900015295.1	GCA_014337255.1	Fusobacterium hominis	0.006486	Fusobacterium hominis	Fusobacterium sp.	Fusobacterium hominis	1
GCF_900095705.1	GCA_900095705.1	Fusobacterium massiliense	0.000000	Fusobacterium massiliense	Fusobacterium massiliense	Fusobacterium massiliense	1
GCF_900104395.1	GCA_900104395.1	Fusobacterium necrophorum	0.000000	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_900450765.1	GCA_900450765.1	Fusobacterium necrogenes	0.000000	Fusobacterium necrogenes	Fusobacterium necrogenes	Fusobacterium necrogenes	1
GCF_900450795.1	GCA_900450795.1	Fusobacterium vincentii	0.000000	Fusobacterium vincentii	Fusobacterium vincentii	Fusobacterium vincentii	1
GCF_900478315.1	GCA_003019675.1	Fusobacterium ulcerans	0.000048	Fusobacterium ulcerans	Fusobacterium ulcerans	Fusobacterium ulcerans	1
GCF_900683735.1	GCA_000158315.2	Fusobacterium ulcerans	0.078582		Fusobacterium ulcerans ATCC 49185	Fusobacterium heteroulcerans	
GCF_901873395.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.042378	Fusobacterium pseudoperiodonticum	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	1
GCF_901873415.1	GCA_000279975.1	Fusobacterium vincentii	0.020566	Fusobacterium vincentii	Fusobacterium nucleatum	Fusobacterium vincentii	1
GCF_902381645.1	GCA_900450795.1	Fusobacterium vincentii	0.020653	Fusobacterium vincentii	Fusobacterium nucleatum	Fusobacterium vincentii	1
GCF_902386295.1	GCA_008801775.1	Fusobacterium necrophorum	0.015730	Fusobacterium necrophorum	Fusobacterium necrophorum	Fusobacterium necrophorum	1
GCF_902387585.1	GCA_900637705.1	Fusobacterium varium	0.000589	Fusobacterium varium	Fusobacterium varium	Fusobacterium varium	1
GCF_902387645.1	GCA_900450765.1	Fusobacterium necrogenes	0.090492		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_903181465.1	GCA_900450765.1	Fusobacterium necrogenes	0.090112		Fusobacterium mortiferum	Fusobacterium mortiferum	
GCF_964212675.1	GCA_008801775.1	Fusobacterium necrophorum	0.018258	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212685.1	GCA_008801775.1	Fusobacterium necrophorum	0.016037	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212695.1	GCA_008801775.1	Fusobacterium necrophorum	0.015134	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212705.1	GCA_008801775.1	Fusobacterium necrophorum	0.015686	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212715.1	GCA_008801775.1	Fusobacterium necrophorum	0.004317	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212725.1	GCA_008801775.1	Fusobacterium necrophorum	0.004185	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212735.1	GCA_008801775.1	Fusobacterium necrophorum	0.014165	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212745.1	GCA_008801775.1	Fusobacterium necrophorum	0.015283	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212755.1	GCA_008801775.1	Fusobacterium necrophorum	0.014704	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212765.1	GCA_008801775.1	Fusobacterium necrophorum	0.016004	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212775.1	GCA_008801775.1	Fusobacterium necrophorum	0.016342	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212785.1	GCA_008801775.1	Fusobacterium necrophorum	0.014699	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212795.1	GCA_008801775.1	Fusobacterium necrophorum	0.003478	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212805.1	GCA_008801775.1	Fusobacterium necrophorum	0.006007	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212815.1	GCA_008801775.1	Fusobacterium necrophorum	0.016908	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212825.1	GCA_008801775.1	Fusobacterium necrophorum	0.016059	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212835.1	GCA_008801775.1	Fusobacterium necrophorum	0.015960	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212845.1	GCA_008801775.1	Fusobacterium necrophorum	0.015883	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212855.1	GCA_008801775.1	Fusobacterium necrophorum	0.015460	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212865.1	GCA_008801775.1	Fusobacterium necrophorum	0.003425	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212875.1	GCA_008801775.1	Fusobacterium necrophorum	0.004209	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212885.1	GCA_008801775.1	Fusobacterium necrophorum	0.015752	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212895.1	GCA_008801775.1	Fusobacterium necrophorum	0.016241	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212905.1	GCA_008801775.1	Fusobacterium necrophorum	0.015411	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964212915.1	GCA_008801775.1	Fusobacterium necrophorum	0.010475	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964238755.1	GCA_056823795.1	Fusobacterium animalis	0.032872	Fusobacterium animalis	Fusobacterium animalis 21_1A	Fusobacterium animalis	1
GCF_964238805.1	GCA_900637705.1	Fusobacterium varium	0.090329		Fusobacterium varium	Fusobacterium sp. CC00717	
GCF_964238915.1	GCA_049381025.1	Fusobacterium watanabei	0.012260	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_964239035.1	GCA_049381025.1	Fusobacterium watanabei	0.012270	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_964241265.1	GCA_900450765.1	Fusobacterium necrogenes	0.088888		Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	
GCF_964241285.1	GCA_900450765.1	Fusobacterium necrogenes	0.088941		Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	
GCF_964241755.1	GCA_049381025.1	Fusobacterium watanabei	0.011304	Fusobacterium watanabei	Fusobacterium nucleatum	Fusobacterium watanabei	1
GCF_964250655.1	GCA_900450765.1	Fusobacterium necrogenes	0.088264		Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	
GCF_964259905.1	GCA_900637705.1	Fusobacterium varium	0.090329		Fusobacterium varium	Fusobacterium sp. CC00717	
GCF_964277055.1	GCA_008801775.1	Fusobacterium necrophorum	0.004721	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1
GCF_964642115.1	GCA_964642115.1	Fusobacterium nucleatum	0.000000	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	1
GCF_965119615.1	GCA_049381025.1	Fusobacterium watanabei	0.000057	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217465.1	GCA_049381025.1	Fusobacterium watanabei	0.010901	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217475.1	GCA_049381025.1	Fusobacterium watanabei	0.010905	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217485.1	GCA_049381025.1	Fusobacterium watanabei	0.010758	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217495.1	GCA_049381025.1	Fusobacterium watanabei	0.010209	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217505.1	GCA_049381025.1	Fusobacterium watanabei	0.010896	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217515.1	GCA_049381025.1	Fusobacterium watanabei	0.010861	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217525.1	GCA_049381025.1	Fusobacterium watanabei	0.006614	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
GCF_965217535.1	GCA_049381025.1	Fusobacterium watanabei	0.000000	Fusobacterium watanabei	Fusobacterium watanabei	Fusobacterium watanabei	1
