acc_a	acc_b	class	genus_a	genus_b	n_bbh	aai	prot_dist
GCA_000756655.1	GCA_020966775.1	inter_genus	Alcanivorax	Rhodopirellula	510	44.1533	
GCA_003054265.1	GCA_028610675.1	inter_genus	Kordia	Alkalihalobacillus	486	44.1502	
GCA_000970675.1	GCA_900142325.1	inter_genus	Domibacillus	Epilithonimonas	438	44.1491	
GCA_042654505.1	GCA_042656585.1	inter_genus	Epilithonimonas	Thalassorhabdus	437	44.1469	
GCA_012972675.1	GCA_014212135.1	inter_genus	Pontixanthobacter	Cohnella	495	44.1455	
GCA_042656585.1	GCA_900142325.1	inter_genus	Thalassorhabdus	Epilithonimonas	419	44.1432	
GCA_004365655.1	GCA_047302405.1	inter_genus	Epilithonimonas	Alkalihalobacillus	467	44.1430	
GCA_000756655.1	GCA_003254155.1	inter_genus	Alcanivorax	Psychrobacillus	508	44.1382	
GCA_000970675.1	GCA_012932915.1	inter_genus	Domibacillus	Antrihabitans	568	44.1359	
GCA_000756655.1	GCA_047302405.1	inter_genus	Alcanivorax	Alkalihalobacillus	556	44.1353	
GCA_012932915.1	GCA_028610675.1	inter_genus	Antrihabitans	Alkalihalobacillus	564	44.1328	
GCA_009827395.1	GCA_014212135.1	inter_genus	Pontixanthobacter	Cohnella	506	44.1326	
GCA_042654505.1	GCA_047302405.1	inter_genus	Epilithonimonas	Alkalihalobacillus	496	44.1306	
GCA_009828095.1	GCA_042656585.1	inter_genus	Pontixanthobacter	Thalassorhabdus	455	44.1281	
GCA_000756655.1	GCA_008973485.1	inter_genus	Alcanivorax	Psychrobacillus	487	44.1244	
GCA_000154725.1	GCA_028610675.1	inter_genus	Kordia	Alkalihalobacillus	481	44.1218	
GCA_014651475.1	GCA_030814065.1	inter_genus	Mesonia	Mesobacillus	482	44.1207	
GCA_028610675.1	GCA_042654505.1	inter_genus	Alkalihalobacillus	Epilithonimonas	492	44.1199	
GCA_000966185.1	GCA_012932915.1	inter_genus	Domibacillus	Antrihabitans	599	44.1135	
GCA_000292245.2	GCA_016481275.1	inter_genus	Alkalihalobacillus	Antrihabitans	562	44.1133	
GCA_004365655.1	GCA_028610675.1	inter_genus	Epilithonimonas	Alkalihalobacillus	458	44.1116	
GCA_001639725.1	GCA_003254155.1	inter_genus	Marinomonas	Psychrobacillus	528	44.1021	
GCA_008297975.1	GCA_008973485.1	inter_genus	Antrihabitans	Psychrobacillus	540	44.1015	
GCA_001643235.1	GCA_008704535.1	inter_genus	Domibacillus	Streptomyces	610	44.1008	
GCA_003254155.1	GCA_043944905.1	inter_genus	Psychrobacillus	Antrihabitans	555	44.1007	
GCA_001437435.1	GCA_003597125.1	inter_genus	Furfurilactobacillus	Alcanivorax	289	44.1003	
GCA_013328815.1	GCA_030814065.1	inter_genus	Tabrizicola	Mesobacillus	540	44.0969	
GCA_000292245.2	GCA_030065535.1	inter_genus	Alkalihalobacillus	Microbacterium	525	44.0962	
GCA_000970675.1	GCA_003054265.1	inter_genus	Domibacillus	Kordia	448	44.0926	
GCA_000292245.2	GCA_012932915.1	inter_genus	Alkalihalobacillus	Antrihabitans	561	44.0900	
GCA_008973485.1	GCA_043944905.1	inter_genus	Psychrobacillus	Antrihabitans	539	44.0887	
GCA_047302405.1	GCA_900142325.1	inter_genus	Alkalihalobacillus	Epilithonimonas	471	44.0870	
GCA_008297975.1	GCA_042656585.1	inter_genus	Antrihabitans	Thalassorhabdus	563	44.0869	
GCA_003254155.1	GCA_014651475.1	inter_genus	Psychrobacillus	Mesonia	464	44.0866	
GCA_000966185.1	GCA_016481275.1	inter_genus	Domibacillus	Antrihabitans	613	44.0861	
GCA_000154725.1	GCA_000966185.1	inter_genus	Kordia	Domibacillus	465	44.0832	
GCA_003597125.1	GCA_009720525.1	inter_genus	Alcanivorax	Gimesia	560	44.0752	
GCA_008973485.1	GCA_042654505.1	inter_genus	Psychrobacillus	Epilithonimonas	467	44.0745	
GCA_000966185.1	GCA_030065535.1	inter_genus	Domibacillus	Microbacterium	550	44.0711	
GCA_003254155.1	GCA_900142325.1	inter_genus	Psychrobacillus	Epilithonimonas	416	44.0642	
GCA_000292245.2	GCA_009827455.1	inter_genus	Alkalihalobacillus	Pontixanthobacter	457	44.0637	
GCA_001643235.1	GCA_004365655.1	inter_genus	Domibacillus	Epilithonimonas	437	44.0627	
GCA_001906925.1	GCA_042650985.1	inter_genus	Domibacillus	Epilithonimonas	459	44.0608	
GCA_014212135.1	GCA_043944905.1	inter_genus	Cohnella	Antrihabitans	696	44.0589	
GCA_000966185.1	GCA_003054265.1	inter_genus	Domibacillus	Kordia	478	44.0584	
GCA_008704535.1	GCA_008973485.1	inter_genus	Streptomyces	Psychrobacillus	583	44.0581	
GCA_000338295.1	GCA_001639725.1	inter_genus	Rhodopirellula	Marinomonas	505	44.0580	
GCA_009827455.1	GCA_042656585.1	inter_genus	Pontixanthobacter	Thalassorhabdus	465	44.0568	
GCA_003054265.1	GCA_006861775.1	inter_genus	Kordia	Psychrobacillus	474	44.0555	
GCA_042656585.1	GCA_900100925.1	inter_genus	Thalassorhabdus	Actinopolyspora	567	44.0552	
GCA_001643235.1	GCA_042654505.1	inter_genus	Domibacillus	Epilithonimonas	464	44.0513	
GCA_003254155.1	GCA_003574395.1	inter_genus	Psychrobacillus	Tabrizicola	475	44.0486	
GCA_009828095.1	GCA_028610675.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	461	44.0486	
GCA_000338295.1	GCA_003597125.1	inter_genus	Rhodopirellula	Alcanivorax	503	44.0485	
GCA_009827395.1	GCA_028610675.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	457	44.0470	
GCA_000970675.1	GCA_043944905.1	inter_genus	Domibacillus	Antrihabitans	585	44.0470	
GCA_006861775.1	GCA_042650985.1	inter_genus	Psychrobacillus	Epilithonimonas	489	44.0442	
GCA_003054265.1	GCA_006861795.1	inter_genus	Kordia	Psychrobacillus	486	44.0434	
GCA_001639725.1	GCA_009720525.1	inter_genus	Marinomonas	Gimesia	530	44.0408	
GCA_009827395.1	GCA_020734105.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	479	44.0399	
GCA_003254155.1	GCA_009827455.1	inter_genus	Psychrobacillus	Pontixanthobacter	434	44.0385	
GCA_000154725.1	GCA_000970675.1	inter_genus	Kordia	Domibacillus	441	44.0383	
GCA_000970675.1	GCA_009827395.1	inter_genus	Domibacillus	Pontixanthobacter	445	44.0346	
GCA_001906925.1	GCA_003574395.1	inter_genus	Domibacillus	Tabrizicola	490	44.0312	
GCA_030065535.1	GCA_042656585.1	inter_genus	Microbacterium	Thalassorhabdus	486	44.0311	
GCA_000154725.1	GCA_047302405.1	inter_genus	Kordia	Alkalihalobacillus	498	44.0291	
GCA_008973485.1	GCA_016481275.1	inter_genus	Psychrobacillus	Antrihabitans	537	44.0279	
GCA_012932915.1	GCA_014212135.1	inter_genus	Antrihabitans	Cohnella	710	44.0276	
GCA_000196115.1	GCA_003597125.1	inter_genus	Rhodopirellula	Alcanivorax	502	44.0185	
GCA_001906925.1	GCA_009901525.1	inter_genus	Domibacillus	Kordia	442	44.0181	
GCA_001643235.1	GCA_003054265.1	inter_genus	Domibacillus	Kordia	456	44.0169	
GCA_006861795.1	GCA_014651475.1	inter_genus	Psychrobacillus	Mesonia	499	44.0168	
GCA_000181475.1	GCA_001639725.1	inter_genus	Gimesia	Marinomonas	531	44.0156	
GCA_001906925.1	GCA_042654505.1	inter_genus	Domibacillus	Epilithonimonas	452	44.0124	
GCA_003574395.1	GCA_008973485.1	inter_genus	Tabrizicola	Psychrobacillus	507	44.0114	
GCA_000292245.2	GCA_009828095.1	inter_genus	Alkalihalobacillus	Pontixanthobacter	467	44.0077	
GCA_006861775.1	GCA_014651475.1	inter_genus	Psychrobacillus	Mesonia	501	44.0064	
GCA_000966185.1	GCA_043944905.1	inter_genus	Domibacillus	Antrihabitans	611	44.0000	
GCA_012972675.1	GCA_042656585.1	inter_genus	Pontixanthobacter	Thalassorhabdus	465	43.9985	
GCA_003597125.1	GCA_030065535.1	inter_genus	Alcanivorax	Microbacterium	412	43.9978	
GCA_000292245.2	GCA_003574395.1	inter_genus	Alkalihalobacillus	Tabrizicola	517	43.9977	
GCA_028610675.1	GCA_042650985.1	inter_genus	Alkalihalobacillus	Epilithonimonas	500	43.9974	
GCA_008297975.1	GCA_014212135.1	inter_genus	Antrihabitans	Cohnella	698	43.9967	
GCA_000009365.1	GCA_000181475.1	inter_genus	Alcanivorax	Gimesia	532	43.9955	
GCA_014651475.1	GCA_042656585.1	inter_genus	Mesonia	Thalassorhabdus	477	43.9948	
GCA_000756655.1	GCA_002727185.1	inter_genus	Alcanivorax	Rhodopirellula	509	43.9945	
GCA_001643235.1	GCA_042650985.1	inter_genus	Domibacillus	Epilithonimonas	478	43.9912	
GCA_006861795.1	GCA_012932915.1	inter_genus	Psychrobacillus	Antrihabitans	568	43.9907	
GCA_006861775.1	GCA_008704535.1	inter_genus	Psychrobacillus	Streptomyces	620	43.9887	
GCA_003054265.1	GCA_008973485.1	inter_genus	Kordia	Psychrobacillus	463	43.9870	
GCA_009828095.1	GCA_014212135.1	inter_genus	Pontixanthobacter	Cohnella	503	43.9857	
GCA_000154725.1	GCA_008973485.1	inter_genus	Kordia	Psychrobacillus	473	43.9850	
GCA_009827455.1	GCA_028610675.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	460	43.9839	
GCA_006861775.1	GCA_900142325.1	inter_genus	Psychrobacillus	Epilithonimonas	454	43.9830	
GCA_003054265.1	GCA_042656585.1	inter_genus	Kordia	Thalassorhabdus	453	43.9786	
GCA_003574395.1	GCA_042656585.1	inter_genus	Tabrizicola	Thalassorhabdus	515	43.9777	
GCA_000970675.1	GCA_900100925.1	inter_genus	Domibacillus	Actinopolyspora	574	43.9740	
GCA_003254155.1	GCA_004365655.1	inter_genus	Psychrobacillus	Epilithonimonas	419	43.9740	
GCA_000966185.1	GCA_009828095.1	inter_genus	Domibacillus	Pontixanthobacter	487	43.9739	
GCA_000970675.1	GCA_009828095.1	inter_genus	Domibacillus	Pontixanthobacter	454	43.9733	
GCA_006861795.1	GCA_042654505.1	inter_genus	Psychrobacillus	Epilithonimonas	481	43.9711	
GCA_014651475.1	GCA_028610675.1	inter_genus	Mesonia	Alkalihalobacillus	502	43.9673	
GCA_000756655.1	GCA_006861795.1	inter_genus	Alcanivorax	Psychrobacillus	525	43.9670	
GCA_000292245.2	GCA_043944905.1	inter_genus	Alkalihalobacillus	Antrihabitans	581	43.9666	
GCA_003054265.1	GCA_047302405.1	inter_genus	Kordia	Alkalihalobacillus	503	43.9656	
GCA_000196115.1	GCA_001639725.1	inter_genus	Rhodopirellula	Marinomonas	508	43.9646	
GCA_003254155.1	GCA_008704535.1	inter_genus	Psychrobacillus	Streptomyces	565	43.9641	
GCA_001906925.1	GCA_013409785.1	inter_genus	Domibacillus	Microbacterium	467	43.9640	
GCA_001639725.1	GCA_006861795.1	inter_genus	Marinomonas	Psychrobacillus	575	43.9635	
GCA_000966185.1	GCA_014651475.1	inter_genus	Domibacillus	Mesonia	491	43.9619	
GCA_001005315.1	GCA_020734105.1	inter_genus	Kordia	Alkalihalobacillus	487	43.9614	
GCA_011008935.1	GCA_014212135.1	inter_genus	Tabrizicola	Cohnella	613	43.9607	
GCA_001643235.1	GCA_016481275.1	inter_genus	Domibacillus	Antrihabitans	593	43.9594	
GCA_000292245.2	GCA_009827395.1	inter_genus	Alkalihalobacillus	Pontixanthobacter	463	43.9559	
GCA_043944905.1	GCA_900636385.1	inter_genus	Antrihabitans	Staphylococcus	403	43.9556	
GCA_008297975.1	GCA_028610675.1	inter_genus	Antrihabitans	Alkalihalobacillus	576	43.9545	
GCA_013328815.1	GCA_014212135.1	inter_genus	Tabrizicola	Cohnella	678	43.9540	
GCA_007748195.1	GCA_009601165.1	inter_genus	Gimesia	Alcanivorax	541	43.9540	
GCA_006861775.1	GCA_016481275.1	inter_genus	Psychrobacillus	Antrihabitans	601	43.9537	
GCA_000292245.2	GCA_008704535.1	inter_genus	Alkalihalobacillus	Streptomyces	618	43.9537	
GCA_001906925.1	GCA_009828095.1	inter_genus	Domibacillus	Pontixanthobacter	454	43.9515	
GCA_002727185.1	GCA_003597125.1	inter_genus	Rhodopirellula	Alcanivorax	513	43.9513	
GCA_001639725.1	GCA_002727185.1	inter_genus	Marinomonas	Rhodopirellula	508	43.9486	
GCA_000181475.1	GCA_003597125.1	inter_genus	Gimesia	Alcanivorax	535	43.9450	
GCA_001906925.1	GCA_012972675.1	inter_genus	Domibacillus	Pontixanthobacter	450	43.9436	
GCA_000154725.1	GCA_006861795.1	inter_genus	Kordia	Psychrobacillus	496	43.9415	
GCA_006861795.1	GCA_900142325.1	inter_genus	Psychrobacillus	Epilithonimonas	462	43.9411	
GCA_001005315.1	GCA_006861775.1	inter_genus	Kordia	Psychrobacillus	486	43.9397	
GCA_006861775.1	GCA_012932915.1	inter_genus	Psychrobacillus	Antrihabitans	583	43.9396	
GCA_016481275.1	GCA_028610675.1	inter_genus	Antrihabitans	Alkalihalobacillus	571	43.9396	
GCA_000970675.1	GCA_042650985.1	inter_genus	Domibacillus	Epilithonimonas	482	43.9382	
GCA_003597125.1	GCA_900636385.1	inter_genus	Alcanivorax	Staphylococcus	404	43.9376	
GCA_001005315.1	GCA_028610675.1	inter_genus	Kordia	Alkalihalobacillus	485	43.9346	
GCA_000970675.1	GCA_016481275.1	inter_genus	Domibacillus	Antrihabitans	589	43.9302	
GCA_000181475.1	GCA_001906925.1	inter_genus	Gimesia	Domibacillus	502	43.9297	
GCA_000154725.1	GCA_042656585.1	inter_genus	Kordia	Thalassorhabdus	457	43.9295	
GCA_008973485.1	GCA_042650985.1	inter_genus	Psychrobacillus	Epilithonimonas	469	43.9286	
GCA_003254155.1	GCA_012972675.1	inter_genus	Psychrobacillus	Pontixanthobacter	448	43.9275	
GCA_006861775.1	GCA_900100925.1	inter_genus	Psychrobacillus	Actinopolyspora	559	43.9242	
GCA_012932915.1	GCA_030814065.1	inter_genus	Antrihabitans	Mesobacillus	575	43.9230	
GCA_006861775.1	GCA_034424525.1	inter_genus	Psychrobacillus	Sphingobium	516	43.9196	
GCA_012932915.1	GCA_013328815.1	inter_genus	Antrihabitans	Tabrizicola	656	43.9189	
GCA_001639725.1	GCA_006861775.1	inter_genus	Marinomonas	Psychrobacillus	587	43.9143	
GCA_001906925.1	GCA_900142325.1	inter_genus	Domibacillus	Epilithonimonas	434	43.9106	
GCA_008973485.1	GCA_009827395.1	inter_genus	Psychrobacillus	Pontixanthobacter	432	43.9081	
GCA_020734105.1	GCA_900100925.1	inter_genus	Alkalihalobacillus	Actinopolyspora	589	43.9078	
GCA_003254155.1	GCA_034424525.1	inter_genus	Psychrobacillus	Sphingobium	501	43.9042	
GCA_001906925.1	GCA_025960885.1	inter_genus	Domibacillus	Microbacterium	489	43.9000	
GCA_000756655.1	GCA_007754425.1	inter_genus	Alcanivorax	Gimesia	557	43.8995	
GCA_003254155.1	GCA_009901525.1	inter_genus	Psychrobacillus	Kordia	447	43.8964	
GCA_008704535.1	GCA_900636385.1	inter_genus	Streptomyces	Staphylococcus	431	43.8963	
GCA_001643235.1	GCA_900142325.1	inter_genus	Domibacillus	Epilithonimonas	452	43.8949	
GCA_006861775.1	GCA_043944905.1	inter_genus	Psychrobacillus	Antrihabitans	597	43.8943	
GCA_043944905.1	GCA_047302405.1	inter_genus	Antrihabitans	Alkalihalobacillus	611	43.8918	
GCA_008704535.1	GCA_020734105.1	inter_genus	Streptomyces	Alkalihalobacillus	638	43.8850	
GCA_000154725.1	GCA_001639725.1	inter_genus	Kordia	Marinomonas	468	43.8846	
GCA_000154725.1	GCA_003597125.1	inter_genus	Kordia	Alcanivorax	468	43.8844	
GCA_008973485.1	GCA_014651475.1	inter_genus	Psychrobacillus	Mesonia	489	43.8834	
GCA_009827455.1	GCA_020734105.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	482	43.8826	
GCA_000966185.1	GCA_008297975.1	inter_genus	Domibacillus	Antrihabitans	574	43.8815	
GCA_028610675.1	GCA_043944905.1	inter_genus	Alkalihalobacillus	Antrihabitans	583	43.8815	
GCA_000966185.1	GCA_013328815.1	inter_genus	Domibacillus	Tabrizicola	588	43.8810	
GCA_000009365.1	GCA_030065535.1	inter_genus	Alcanivorax	Microbacterium	399	43.8802	
GCA_001906925.1	GCA_900100925.1	inter_genus	Domibacillus	Actinopolyspora	528	43.8799	
GCA_001005315.1	GCA_001643235.1	inter_genus	Kordia	Domibacillus	452	43.8695	
GCA_000154725.1	GCA_020734105.1	inter_genus	Kordia	Alkalihalobacillus	488	43.8682	
GCA_001005315.1	GCA_015999335.1	inter_genus	Kordia	Tabrizicola	396	43.8662	
GCA_014212135.1	GCA_016481275.1	inter_genus	Cohnella	Antrihabitans	710	43.8631	
GCA_008297975.1	GCA_047302405.1	inter_genus	Antrihabitans	Alkalihalobacillus	603	43.8629	
GCA_003254155.1	GCA_013328815.1	inter_genus	Psychrobacillus	Tabrizicola	500	43.8622	
GCA_003574395.1	GCA_014212135.1	inter_genus	Tabrizicola	Cohnella	630	43.8575	
GCA_006861795.1	GCA_009827455.1	inter_genus	Psychrobacillus	Pontixanthobacter	457	43.8571	
GCA_000009365.1	GCA_007754425.1	inter_genus	Alcanivorax	Gimesia	551	43.8559	
GCA_003597125.1	GCA_008704535.1	inter_genus	Alcanivorax	Streptomyces	571	43.8557	
GCA_000292245.2	GCA_009901525.1	inter_genus	Alkalihalobacillus	Kordia	482	43.8550	
GCA_009601165.1	GCA_030065535.1	inter_genus	Alcanivorax	Microbacterium	420	43.8548	
GCA_003597125.1	GCA_007748195.1	inter_genus	Alcanivorax	Gimesia	534	43.8539	
GCA_042650985.1	GCA_042656585.1	inter_genus	Epilithonimonas	Thalassorhabdus	446	43.8500	
GCA_001643235.1	GCA_009827395.1	inter_genus	Domibacillus	Pontixanthobacter	452	43.8491	
GCA_000292245.2	GCA_012972675.1	inter_genus	Alkalihalobacillus	Pontixanthobacter	465	43.8486	
GCA_030814065.1	GCA_900142325.1	inter_genus	Mesobacillus	Epilithonimonas	464	43.8476	
GCA_009827455.1	GCA_030814065.1	inter_genus	Pontixanthobacter	Mesobacillus	468	43.8470	
GCA_000966185.1	GCA_012972675.1	inter_genus	Domibacillus	Pontixanthobacter	487	43.8429	
GCA_001437435.1	GCA_009601165.1	inter_genus	Furfurilactobacillus	Alcanivorax	288	43.8427	
GCA_006861795.1	GCA_016481275.1	inter_genus	Psychrobacillus	Antrihabitans	591	43.8418	
GCA_000009365.1	GCA_007748195.1	inter_genus	Alcanivorax	Gimesia	535	43.8415	
GCA_001643235.1	GCA_003574395.1	inter_genus	Domibacillus	Tabrizicola	501	43.8409	
GCA_006861795.1	GCA_043944905.1	inter_genus	Psychrobacillus	Antrihabitans	592	43.8400	
GCA_000966185.1	GCA_001005315.1	inter_genus	Domibacillus	Kordia	473	43.8397	
GCA_003574395.1	GCA_006861795.1	inter_genus	Tabrizicola	Psychrobacillus	520	43.8375	
GCA_000966185.1	GCA_025960885.1	inter_genus	Domibacillus	Microbacterium	599	43.8346	
GCA_013328815.1	GCA_047302405.1	inter_genus	Tabrizicola	Alkalihalobacillus	564	43.8339	
GCA_001639725.1	GCA_007748195.1	inter_genus	Marinomonas	Gimesia	514	43.8325	
GCA_003054265.1	GCA_015999335.1	inter_genus	Kordia	Tabrizicola	398	43.8312	
GCA_020734105.1	GCA_043944905.1	inter_genus	Alkalihalobacillus	Antrihabitans	602	43.8311	
GCA_001005315.1	GCA_006861795.1	inter_genus	Kordia	Psychrobacillus	492	43.8305	
GCA_025960885.1	GCA_042656585.1	inter_genus	Microbacterium	Thalassorhabdus	516	43.8304	
GCA_003597125.1	GCA_007754425.1	inter_genus	Alcanivorax	Gimesia	551	43.8299	
GCA_008973485.1	GCA_009827455.1	inter_genus	Psychrobacillus	Pontixanthobacter	422	43.8284	
GCA_006861775.1	GCA_009827455.1	inter_genus	Psychrobacillus	Pontixanthobacter	467	43.8278	
GCA_008973485.1	GCA_030065535.1	inter_genus	Psychrobacillus	Microbacterium	486	43.8278	
GCA_004365655.1	GCA_006861775.1	inter_genus	Epilithonimonas	Psychrobacillus	457	43.8276	
GCA_000154725.1	GCA_006861775.1	inter_genus	Kordia	Psychrobacillus	494	43.8267	
GCA_001643235.1	GCA_009827455.1	inter_genus	Domibacillus	Pontixanthobacter	449	43.8261	
GCA_000970675.1	GCA_030065535.1	inter_genus	Domibacillus	Microbacterium	514	43.8253	
GCA_013328815.1	GCA_028610675.1	inter_genus	Tabrizicola	Alkalihalobacillus	534	43.8243	
GCA_000181475.1	GCA_000756655.1	inter_genus	Gimesia	Alcanivorax	549	43.8188	
GCA_000292245.2	GCA_025960885.1	inter_genus	Alkalihalobacillus	Microbacterium	563	43.8167	
GCA_000970675.1	GCA_009827455.1	inter_genus	Domibacillus	Pontixanthobacter	451	43.8126	
GCA_009828095.1	GCA_030814065.1	inter_genus	Pontixanthobacter	Mesobacillus	488	43.8109	
GCA_008973485.1	GCA_900100925.1	inter_genus	Psychrobacillus	Actinopolyspora	505	43.8093	
GCA_004365655.1	GCA_030814065.1	inter_genus	Epilithonimonas	Mesobacillus	466	43.8086	
GCA_011008935.1	GCA_028610675.1	inter_genus	Tabrizicola	Alkalihalobacillus	517	43.8044	
GCA_000009365.1	GCA_000154725.1	inter_genus	Alcanivorax	Kordia	449	43.8042	
GCA_000966185.1	GCA_009827455.1	inter_genus	Domibacillus	Pontixanthobacter	477	43.8031	
GCA_000756655.1	GCA_007748195.1	inter_genus	Alcanivorax	Gimesia	546	43.8013	
GCA_003597125.1	GCA_025960885.1	inter_genus	Alcanivorax	Microbacterium	429	43.8005	
GCA_030065535.1	GCA_047302405.1	inter_genus	Microbacterium	Alkalihalobacillus	561	43.7996	
GCA_003254155.1	GCA_041537905.1	inter_genus	Psychrobacillus	Ruegeria	516	43.7971	
GCA_016481275.1	GCA_047302405.1	inter_genus	Antrihabitans	Alkalihalobacillus	601	43.7968	
GCA_009901525.1	GCA_030814065.1	inter_genus	Kordia	Mesobacillus	490	43.7955	
GCA_030814065.1	GCA_042654505.1	inter_genus	Mesobacillus	Epilithonimonas	493	43.7939	
GCA_001906925.1	GCA_009720525.1	inter_genus	Domibacillus	Gimesia	505	43.7935	
GCA_000970675.1	GCA_008297975.1	inter_genus	Domibacillus	Antrihabitans	571	43.7932	
GCA_000154725.1	GCA_009601165.1	inter_genus	Kordia	Alcanivorax	474	43.7920	
GCA_030814065.1	GCA_042650985.1	inter_genus	Mesobacillus	Epilithonimonas	491	43.7919	
GCA_012932915.1	GCA_034424525.1	inter_genus	Antrihabitans	Sphingobium	705	43.7918	
GCA_000966185.1	GCA_008704535.1	inter_genus	Domibacillus	Streptomyces	668	43.7903	
GCA_000970675.1	GCA_034424525.1	inter_genus	Domibacillus	Sphingobium	537	43.7851	
GCA_001005315.1	GCA_047302405.1	inter_genus	Kordia	Alkalihalobacillus	503	43.7843	
GCA_003254155.1	GCA_900100925.1	inter_genus	Psychrobacillus	Actinopolyspora	501	43.7818	
GCA_000009365.1	GCA_900636385.1	inter_genus	Alcanivorax	Staphylococcus	414	43.7802	
GCA_000970675.1	GCA_008704535.1	inter_genus	Domibacillus	Streptomyces	634	43.7782	
GCA_006861795.1	GCA_009827395.1	inter_genus	Psychrobacillus	Pontixanthobacter	458	43.7771	
GCA_012972675.1	GCA_020734105.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	477	43.7761	
GCA_000966185.1	GCA_009901525.1	inter_genus	Domibacillus	Kordia	480	43.7752	
GCA_012972675.1	GCA_028610675.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	463	43.7752	
GCA_009720525.1	GCA_014212135.1	inter_genus	Gimesia	Cohnella	593	43.7750	
GCA_000009365.1	GCA_003054265.1	inter_genus	Alcanivorax	Kordia	440	43.7741	
GCA_009827455.1	GCA_047302405.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	487	43.7725	
GCA_003574395.1	GCA_020734105.1	inter_genus	Tabrizicola	Alkalihalobacillus	548	43.7717	
GCA_000181475.1	GCA_000966185.1	inter_genus	Gimesia	Domibacillus	556	43.7716	
GCA_012932915.1	GCA_047302405.1	inter_genus	Antrihabitans	Alkalihalobacillus	600	43.7715	
GCA_000966185.1	GCA_003574395.1	inter_genus	Domibacillus	Tabrizicola	570	43.7696	
GCA_006861795.1	GCA_008297975.1	inter_genus	Psychrobacillus	Antrihabitans	579	43.7672	
GCA_028610675.1	GCA_043556415.1	inter_genus	Alkalihalobacillus	Microbacterium	474	43.7656	
GCA_001906925.1	GCA_043556415.1	inter_genus	Domibacillus	Microbacterium	424	43.7634	
GCA_003574395.1	GCA_030814065.1	inter_genus	Tabrizicola	Mesobacillus	524	43.7634	
GCA_000970675.1	GCA_001005315.1	inter_genus	Domibacillus	Kordia	447	43.7615	
GCA_008704535.1	GCA_030814065.1	inter_genus	Streptomyces	Mesobacillus	631	43.7612	
GCA_000966185.1	GCA_015999335.1	inter_genus	Domibacillus	Tabrizicola	583	43.7607	
GCA_000970675.1	GCA_043556415.1	inter_genus	Domibacillus	Microbacterium	467	43.7572	
GCA_000756655.1	GCA_900636385.1	inter_genus	Alcanivorax	Staphylococcus	409	43.7553	
GCA_000292245.2	GCA_015999335.1	inter_genus	Alkalihalobacillus	Tabrizicola	542	43.7550	
GCA_009828095.1	GCA_047302405.1	inter_genus	Pontixanthobacter	Alkalihalobacillus	495	43.7545	
GCA_020734105.1	GCA_030065535.1	inter_genus	Alkalihalobacillus	Microbacterium	490	43.7512	
GCA_008973485.1	GCA_009828095.1	inter_genus	Psychrobacillus	Pontixanthobacter	429	43.7501	
GCA_004365655.1	GCA_006861795.1	inter_genus	Epilithonimonas	Psychrobacillus	467	43.7495	
GCA_009601165.1	GCA_025960885.1	inter_genus	Alcanivorax	Microbacterium	425	43.7480	
GCA_003054265.1	GCA_003597125.1	inter_genus	Kordia	Alcanivorax	457	43.7468	
GCA_006861795.1	GCA_030065535.1	inter_genus	Psychrobacillus	Microbacterium	505	43.7461	
GCA_007748195.1	GCA_020734105.1	inter_genus	Gimesia	Alkalihalobacillus	550	43.7456	
GCA_006861775.1	GCA_012972675.1	inter_genus	Psychrobacillus	Pontixanthobacter	468	43.7442	
GCA_004365655.1	GCA_042656585.1	inter_genus	Epilithonimonas	Thalassorhabdus	416	43.7442	
GCA_000292245.2	GCA_900100925.1	inter_genus	Alkalihalobacillus	Actinopolyspora	562	43.7434	
GCA_004365655.1	GCA_020734105.1	inter_genus	Epilithonimonas	Alkalihalobacillus	451	43.7419	
GCA_001906925.1	GCA_030065535.1	inter_genus	Domibacillus	Microbacterium	473	43.7419	
GCA_006861775.1	GCA_009828095.1	inter_genus	Psychrobacillus	Pontixanthobacter	471	43.7397	
GCA_001639725.1	GCA_003054265.1	inter_genus	Marinomonas	Kordia	459	43.7390	
GCA_009901525.1	GCA_047302405.1	inter_genus	Kordia	Alkalihalobacillus	506	43.7387	
GCA_008704535.1	GCA_028610675.1	inter_genus	Streptomyces	Alkalihalobacillus	637	43.7381	
GCA_016481275.1	GCA_034424525.1	inter_genus	Antrihabitans	Sphingobium	686	43.7376	
GCA_014212135.1	GCA_025960885.1	inter_genus	Cohnella	Microbacterium	679	43.7371	
GCA_000970675.1	GCA_025960885.1	inter_genus	Domibacillus	Microbacterium	557	43.7364	
GCA_000292245.2	GCA_013409785.1	inter_genus	Alkalihalobacillus	Microbacterium	543	43.7343	
GCA_012932915.1	GCA_012972675.1	inter_genus	Antrihabitans	Pontixanthobacter	531	43.7313	
GCA_001639725.1	GCA_020966775.1	inter_genus	Marinomonas	Rhodopirellula	503	43.7306	
