bin	source	completeness	contamination	donor	donor_species	nn_dist	nn_dist_acc	nn_dist_ok	nn_cont	nn_cont_acc	nn_cont_ok
GCA_009765275.1~c0.90~g0.00~none.fna	GCA_009765275.1	0.90	0.00	none	absent	0.177395	GCA_003646465.1	True	0.024097	GCA_003646465.1	True
GCA_009765275.1~c0.90~g0.10~far.fna	GCA_009765275.1	0.90	0.10	far	present	0.104955	GCA_900108185.1	False	0.110963	GCA_900108185.1	False
GCA_009765275.1~c0.90~g0.10~far.fna	GCA_009765275.1	0.90	0.10	far	absent	0.181002	GCA_003646465.1	True	0.021217	GCA_003646465.1	True
GCA_009765275.1~c0.90~g0.10~near.fna	GCA_009765275.1	0.90	0.10	near	present	0.100290	GCA_003646465.1	True	0.115416	GCA_003646465.1	True
GCA_009765275.1~c0.90~g0.20~far.fna	GCA_009765275.1	0.90	0.20	far	present	0.074106	GCA_900108185.1	False	0.200130	GCA_900108185.1	False
GCA_009765275.1~c0.90~g0.20~far.fna	GCA_009765275.1	0.90	0.20	far	absent	0.184461	GCA_003646465.1	True	0.018682	GCA_003646465.1	True
GCA_009765275.1~c0.90~g0.20~near.fna	GCA_009765275.1	0.90	0.20	near	present	0.066324	GCA_003646465.1	True	0.223206	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.00~none.fna	GCA_009765275.1	0.70	0.00	none	present	0.181002	GCA_003646465.1	True	0.025503	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.00~none.fna	GCA_009765275.1	0.70	0.00	none	absent	0.181002	GCA_003646465.1	True	0.025503	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.10~far.fna	GCA_009765275.1	0.70	0.10	far	present	0.116861	GCA_900108185.1	False	0.098713	GCA_900108185.1	False
GCA_009765275.1~c0.70~g0.10~far.fna	GCA_009765275.1	0.70	0.10	far	absent	0.182699	GCA_003646465.1	True	0.023217	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.10~near.fna	GCA_009765275.1	0.70	0.10	near	present	0.102777	GCA_003646465.1	True	0.124283	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.20~far.fna	GCA_009765275.1	0.70	0.20	far	present	0.076915	GCA_900108185.1	False	0.213645	GCA_900108185.1	False
GCA_009765275.1~c0.70~g0.20~far.fna	GCA_009765275.1	0.70	0.20	far	absent	0.185367	GCA_003646465.1	True	0.020607	GCA_003646465.1	True
GCA_009765275.1~c0.70~g0.20~near.fna	GCA_009765275.1	0.70	0.20	near	present	0.074142	GCA_003646465.1	True	0.212963	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.00~none.fna	GCA_009765275.1	0.50	0.00	none	present	0.190183	GCA_003646465.1	True	0.025735	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.00~none.fna	GCA_009765275.1	0.50	0.00	none	absent	0.190183	GCA_003646465.1	True	0.025735	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.10~far.fna	GCA_009765275.1	0.50	0.10	far	present	0.126340	GCA_900108185.1	False	0.098876	GCA_900108185.1	False
GCA_009765275.1~c0.50~g0.10~far.fna	GCA_009765275.1	0.50	0.10	far	absent	0.190183	GCA_003646465.1	True	0.024023	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.10~near.fna	GCA_009765275.1	0.50	0.10	near	present	0.112980	GCA_003646465.1	True	0.121329	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.20~far.fna	GCA_009765275.1	0.50	0.20	far	present	0.088783	GCA_900108185.1	False	0.202106	GCA_900108185.1	False
GCA_009765275.1~c0.50~g0.20~far.fna	GCA_009765275.1	0.50	0.20	far	absent	0.192791	GCA_003646465.1	True	0.021194	GCA_003646465.1	True
GCA_009765275.1~c0.50~g0.20~near.fna	GCA_009765275.1	0.50	0.20	near	present	0.079817	GCA_003646465.1	True	0.227269	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.00~none.fna	GCA_009765275.1	0.30	0.00	none	present	0.222464	GCA_003646465.1	True	0.018649	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.00~none.fna	GCA_009765275.1	0.30	0.00	none	absent	0.222464	GCA_003646465.1	True	0.018649	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.10~far.fna	GCA_009765275.1	0.30	0.10	far	present	0.141653	GCA_900108185.1	False	0.102216	GCA_900108185.1	False
GCA_009765275.1~c0.30~g0.10~far.fna	GCA_009765275.1	0.30	0.10	far	absent	0.225590	GCA_003646465.1	True	0.016078	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.10~near.fna	GCA_009765275.1	0.30	0.10	near	present	0.124855	GCA_003646465.1	True	0.133338	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.20~far.fna	GCA_009765275.1	0.30	0.20	far	present	0.101056	GCA_900108185.1	False	0.219029	GCA_900108185.1	False
GCA_009765275.1~c0.30~g0.20~far.fna	GCA_009765275.1	0.30	0.20	far	absent	0.228939	GCA_003646465.1	True	0.013730	GCA_003646465.1	True
GCA_009765275.1~c0.30~g0.20~near.fna	GCA_009765275.1	0.30	0.20	near	present	0.097358	GCA_003646465.1	True	0.218882	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.00~none.fna	GCA_009765275.1	0.20	0.00	none	present	0.222464	GCA_003646465.1	True	0.025466	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.00~none.fna	GCA_009765275.1	0.20	0.00	none	absent	0.222464	GCA_003646465.1	True	0.025466	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.10~far.fna	GCA_009765275.1	0.20	0.10	far	present	0.148524	GCA_900108185.1	False	0.119673	GCA_900108185.1	False
GCA_009765275.1~c0.20~g0.10~far.fna	GCA_009765275.1	0.20	0.10	far	absent	0.222464	GCA_003646465.1	True	0.023038	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.10~near.fna	GCA_009765275.1	0.20	0.10	near	present	0.136630	GCA_003646465.1	True	0.139887	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.20~far.fna	GCA_009765275.1	0.20	0.20	far	present	0.117372	GCA_900108185.1	False	0.209813	GCA_900108185.1	False
GCA_009765275.1~c0.20~g0.20~far.fna	GCA_009765275.1	0.20	0.20	far	absent	0.221466	GCA_003646465.1	True	0.021489	GCA_003646465.1	True
GCA_009765275.1~c0.20~g0.20~near.fna	GCA_009765275.1	0.20	0.20	near	present	0.110280	GCA_003646465.1	True	0.223294	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.00~none.fna	GCA_009765275.1	0.10	0.00	none	present	0.268030	GCA_003646465.1	True	0.017861	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.00~none.fna	GCA_009765275.1	0.10	0.00	none	absent	0.268030	GCA_003646465.1	True	0.017861	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.10~far.fna	GCA_009765275.1	0.10	0.10	far	present	0.184912	GCA_900108185.1	False	0.101658	GCA_900108185.1	False
GCA_009765275.1~c0.10~g0.10~far.fna	GCA_009765275.1	0.10	0.10	far	absent	0.270747	GCA_003646465.1	True	0.015089	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.10~near.fna	GCA_009765275.1	0.10	0.10	near	present	0.165549	GCA_003646465.1	True	0.137432	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.20~far.fna	GCA_009765275.1	0.10	0.20	far	present	0.146116	GCA_900108185.1	False	0.207222	GCA_900108185.1	False
GCA_009765275.1~c0.10~g0.20~far.fna	GCA_009765275.1	0.10	0.20	far	absent	0.270747	GCA_003646465.1	True	0.013637	GCA_003646465.1	True
GCA_009765275.1~c0.10~g0.20~near.fna	GCA_009765275.1	0.10	0.20	near	present	0.134163	GCA_003646465.1	True	0.240887	GCA_003646465.1	True
GCA_025370875.1~c1.00~g0.00~none.fna	GCA_025370875.1	1.00	0.00	none	present	0.081439	GCA_000317105.1	False	0.190765	GCA_000317105.1	False
GCA_025370875.1~c1.00~g0.00~none.fna	GCA_025370875.1	1.00	0.00	none	absent	0.081439	GCA_000317105.1	False	0.190765	GCA_000317105.1	False
GCA_025370875.1~c1.00~g0.10~far.fna	GCA_025370875.1	1.00	0.10	far	present	0.083911	GCA_000317105.1	False	0.171546	GCA_000317105.1	False
GCA_025370875.1~c1.00~g0.10~far.fna	GCA_025370875.1	1.00	0.10	far	absent	0.083911	GCA_000317105.1	False	0.171546	GCA_000317105.1	False
GCA_025370875.1~c1.00~g0.10~near.fna	GCA_025370875.1	1.00	0.10	near	present	0.065769	GCA_025370785.1	True	0.238524	GCA_025370785.1	True
GCA_025370875.1~c1.00~g0.20~far.fna	GCA_025370875.1	1.00	0.20	far	present	0.062341	GCA_017357105.2	False	0.199922	GCA_017357105.2	False
GCA_025370875.1~c1.00~g0.20~far.fna	GCA_025370875.1	1.00	0.20	far	absent	0.086893	GCA_000317105.1	False	0.152043	GCA_000317105.1	False
GCA_025370875.1~c1.00~g0.20~near.fna	GCA_025370875.1	1.00	0.20	near	present	0.051940	GCA_025370785.1	True	0.301807	GCA_025370785.1	True
GCA_025370875.1~c0.90~g0.00~none.fna	GCA_025370875.1	0.90	0.00	none	present	0.083911	GCA_000317105.1	False	0.191332	GCA_000317105.1	False
GCA_025370875.1~c0.90~g0.00~none.fna	GCA_025370875.1	0.90	0.00	none	absent	0.083911	GCA_000317105.1	False	0.191332	GCA_000317105.1	False
GCA_025370875.1~c0.90~g0.10~far.fna	GCA_025370875.1	0.90	0.10	far	present	0.086843	GCA_000317105.1	False	0.169680	GCA_000317105.1	False
GCA_025370875.1~c0.90~g0.10~far.fna	GCA_025370875.1	0.90	0.10	far	absent	0.086843	GCA_000317105.1	False	0.169680	GCA_000317105.1	False
GCA_025370875.1~c0.90~g0.10~near.fna	GCA_025370875.1	0.90	0.10	near	present	0.067247	GCA_025370785.1	True	0.242913	GCA_025370785.1	True
GCA_025370875.1~c0.90~g0.20~far.fna	GCA_025370875.1	0.90	0.20	far	present	0.063250	GCA_017357105.2	False	0.203039	GCA_017357105.2	False
GCA_025370875.1~c0.90~g0.20~far.fna	GCA_025370875.1	0.90	0.20	far	absent	0.089736	GCA_000317105.1	False	0.150517	GCA_000317105.1	False
GCA_025370875.1~c0.90~g0.20~near.fna	GCA_025370875.1	0.90	0.20	near	present	0.052097	GCA_025370785.1	True	0.315155	GCA_025370785.1	True
GCA_025370875.1~c0.70~g0.00~none.fna	GCA_025370875.1	0.70	0.00	none	present	0.090820	GCA_000317105.1	False	0.191434	GCA_000317105.1	False
GCA_025370875.1~c0.70~g0.00~none.fna	GCA_025370875.1	0.70	0.00	none	absent	0.090820	GCA_000317105.1	False	0.191434	GCA_000317105.1	False
GCA_025370875.1~c0.70~g0.10~far.fna	GCA_025370875.1	0.70	0.10	far	present	0.093080	GCA_000317105.1	False	0.171375	GCA_000317105.1	False
GCA_025370875.1~c0.70~g0.10~far.fna	GCA_025370875.1	0.70	0.10	far	absent	0.093080	GCA_000317105.1	False	0.171375	GCA_000317105.1	False
GCA_025370875.1~c0.70~g0.10~near.fna	GCA_025370875.1	0.70	0.10	near	present	0.075057	GCA_025370785.1	True	0.235490	GCA_025370785.1	True
GCA_025370875.1~c0.70~g0.20~far.fna	GCA_025370875.1	0.70	0.20	far	present	0.066089	GCA_017357105.2	False	0.210059	GCA_017357105.2	False
GCA_025370875.1~c0.70~g0.20~far.fna	GCA_025370875.1	0.70	0.20	far	absent	0.095841	GCA_000317105.1	False	0.150926	GCA_000317105.1	False
GCA_025370875.1~c0.70~g0.20~near.fna	GCA_025370875.1	0.70	0.20	near	present	0.056420	GCA_025370785.1	True	0.325971	GCA_025370785.1	True
GCA_025370875.1~c0.50~g0.00~none.fna	GCA_025370875.1	0.50	0.00	none	present	0.101197	GCA_000317105.1	False	0.191646	GCA_000317105.1	False
GCA_025370875.1~c0.50~g0.00~none.fna	GCA_025370875.1	0.50	0.00	none	absent	0.101197	GCA_000317105.1	False	0.191646	GCA_000317105.1	False
GCA_025370875.1~c0.50~g0.10~far.fna	GCA_025370875.1	0.50	0.10	far	present	0.103441	GCA_000317105.1	False	0.170020	GCA_000317105.1	False
GCA_025370875.1~c0.50~g0.10~far.fna	GCA_025370875.1	0.50	0.10	far	absent	0.103441	GCA_000317105.1	False	0.170020	GCA_000317105.1	False
GCA_025370875.1~c0.50~g0.10~near.fna	GCA_025370875.1	0.50	0.10	near	present	0.083957	GCA_025370785.1	True	0.238461	GCA_025370785.1	True
GCA_025370875.1~c0.50~g0.20~far.fna	GCA_025370875.1	0.50	0.20	far	present	0.074946	GCA_017357105.2	False	0.202978	GCA_017357105.2	False
GCA_025370875.1~c0.50~g0.20~far.fna	GCA_025370875.1	0.50	0.20	far	absent	0.105264	GCA_000317105.1	False	0.151683	GCA_000317105.1	False
GCA_025370875.1~c0.50~g0.20~near.fna	GCA_025370875.1	0.50	0.20	near	present	0.066619	GCA_025370785.1	True	0.319476	GCA_025370785.1	True
GCA_025370875.1~c0.30~g0.00~none.fna	GCA_025370875.1	0.30	0.00	none	present	0.117992	GCA_000317105.1	False	0.197148	GCA_000317105.1	False
GCA_025370875.1~c0.30~g0.00~none.fna	GCA_025370875.1	0.30	0.00	none	absent	0.117992	GCA_000317105.1	False	0.197148	GCA_000317105.1	False
GCA_025370875.1~c0.30~g0.10~far.fna	GCA_025370875.1	0.30	0.10	far	present	0.118940	GCA_000317105.1	False	0.177149	GCA_000317105.1	False
GCA_025370875.1~c0.30~g0.10~far.fna	GCA_025370875.1	0.30	0.10	far	absent	0.118940	GCA_000317105.1	False	0.177149	GCA_000317105.1	False
GCA_025370875.1~c0.30~g0.10~near.fna	GCA_025370875.1	0.30	0.10	near	present	0.100015	GCA_025370785.1	True	0.243079	GCA_025370785.1	True
GCA_025370875.1~c0.30~g0.20~far.fna	GCA_025370875.1	0.30	0.20	far	present	0.088941	GCA_017357105.2	False	0.201115	GCA_017357105.2	False
GCA_025370875.1~c0.30~g0.20~far.fna	GCA_025370875.1	0.30	0.20	far	absent	0.120236	GCA_000317105.1	False	0.158347	GCA_000317105.1	False
GCA_025370875.1~c0.30~g0.20~near.fna	GCA_025370875.1	0.30	0.20	near	present	0.081006	GCA_025370785.1	True	0.332737	GCA_025370785.1	True
GCA_025370875.1~c0.20~g0.00~none.fna	GCA_025370875.1	0.20	0.00	none	present	0.133125	GCA_000317105.1	False	0.198977	GCA_000317105.1	False
GCA_025370875.1~c0.20~g0.00~none.fna	GCA_025370875.1	0.20	0.00	none	absent	0.133125	GCA_000317105.1	False	0.198977	GCA_000317105.1	False
GCA_025370875.1~c0.20~g0.10~far.fna	GCA_025370875.1	0.20	0.10	far	present	0.130424	GCA_017357105.2	False	0.177100	GCA_000317105.1	False
GCA_025370875.1~c0.20~g0.10~far.fna	GCA_025370875.1	0.20	0.10	far	absent	0.134014	GCA_000317105.1	False	0.177100	GCA_000317105.1	False
GCA_025370875.1~c0.20~g0.10~near.fna	GCA_025370875.1	0.20	0.10	near	present	0.109760	GCA_025370785.1	True	0.269275	GCA_025370785.1	True
GCA_025370875.1~c0.20~g0.20~far.fna	GCA_025370875.1	0.20	0.20	far	present	0.101836	GCA_017357105.2	False	0.198304	GCA_017357105.2	False
GCA_025370875.1~c0.20~g0.20~far.fna	GCA_025370875.1	0.20	0.20	far	absent	0.134920	GCA_000317105.1	False	0.157633	GCA_000317105.1	False
GCA_025370875.1~c0.20~g0.20~near.fna	GCA_025370875.1	0.20	0.20	near	present	0.091430	GCA_025370785.1	True	0.361518	GCA_025370785.1	True
GCA_025370875.1~c0.10~g0.00~none.fna	GCA_025370875.1	0.10	0.00	none	present	0.160465	GCA_000317105.1	False	0.204650	GCA_000317105.1	False
GCA_025370875.1~c0.10~g0.00~none.fna	GCA_025370875.1	0.10	0.00	none	absent	0.160465	GCA_000317105.1	False	0.204650	GCA_000317105.1	False
GCA_025370875.1~c0.10~g0.10~far.fna	GCA_025370875.1	0.10	0.10	far	present	0.151285	GCA_017357105.2	False	0.178619	GCA_000317105.1	False
GCA_025370875.1~c0.10~g0.10~far.fna	GCA_025370875.1	0.10	0.10	far	absent	0.161274	GCA_000317105.1	False	0.178619	GCA_000317105.1	False
GCA_025370875.1~c0.10~g0.10~near.fna	GCA_025370875.1	0.10	0.10	near	present	0.142187	GCA_025370785.1	True	0.245579	GCA_025370785.1	True
GCA_025370875.1~c0.10~g0.20~far.fna	GCA_025370875.1	0.10	0.20	far	present	0.126089	GCA_017357105.2	False	0.202685	GCA_017357105.2	False
GCA_025370875.1~c0.10~g0.20~far.fna	GCA_025370875.1	0.10	0.20	far	absent	0.162098	GCA_000317105.1	False	0.161334	GCA_000317105.1	False
GCA_025370875.1~c0.10~g0.20~near.fna	GCA_025370875.1	0.10	0.20	near	present	0.119261	GCA_025370785.1	True	0.354020	GCA_025370785.1	True
GCA_025370785.1~c1.00~g0.00~none.fna	GCA_025370785.1	1.00	0.00	none	present	0.084801	GCA_025370875.1	True	0.168623	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.00~none.fna	GCA_025370785.1	1.00	0.00	none	absent	0.084801	GCA_025370875.1	True	0.168623	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.10~far.fna	GCA_025370785.1	1.00	0.10	far	present	0.087244	GCA_025370875.1	True	0.152158	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.10~far.fna	GCA_025370785.1	1.00	0.10	far	absent	0.087244	GCA_025370875.1	True	0.152158	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.10~near.fna	GCA_025370785.1	1.00	0.10	near	present	0.066412	GCA_025370875.1	True	0.235640	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.20~far.fna	GCA_025370785.1	1.00	0.20	far	present	0.078058	GCA_036245865.1	False	0.206309	GCA_036245865.1	False
GCA_025370785.1~c1.00~g0.20~far.fna	GCA_025370785.1	1.00	0.20	far	absent	0.090875	GCA_025370875.1	True	0.133484	GCA_025370875.1	True
GCA_025370785.1~c1.00~g0.20~near.fna	GCA_025370785.1	1.00	0.20	near	present	0.052078	GCA_025370875.1	True	0.301583	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.00~none.fna	GCA_025370785.1	0.90	0.00	none	present	0.087244	GCA_025370875.1	True	0.168850	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.00~none.fna	GCA_025370785.1	0.90	0.00	none	absent	0.087244	GCA_025370875.1	True	0.168850	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.10~far.fna	GCA_025370785.1	0.90	0.10	far	present	0.089629	GCA_025370875.1	True	0.152010	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.10~far.fna	GCA_025370785.1	0.90	0.10	far	absent	0.089629	GCA_025370875.1	True	0.152010	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.10~near.fna	GCA_025370785.1	0.90	0.10	near	present	0.068660	GCA_025370875.1	True	0.236214	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.20~far.fna	GCA_025370785.1	0.90	0.20	far	present	0.081570	GCA_036245865.1	False	0.202480	GCA_036245865.1	False
GCA_025370785.1~c0.90~g0.20~far.fna	GCA_025370785.1	0.90	0.20	far	absent	0.092275	GCA_025370875.1	True	0.135770	GCA_025370875.1	True
GCA_025370785.1~c0.90~g0.20~near.fna	GCA_025370785.1	0.90	0.20	near	present	0.052117	GCA_025370875.1	True	0.315541	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.00~none.fna	GCA_025370785.1	0.70	0.00	none	present	0.093371	GCA_025370875.1	True	0.170907	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.00~none.fna	GCA_025370785.1	0.70	0.00	none	absent	0.093371	GCA_025370875.1	True	0.170907	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.10~far.fna	GCA_025370785.1	0.70	0.10	far	present	0.095409	GCA_025370875.1	True	0.153830	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.10~far.fna	GCA_025370785.1	0.70	0.10	far	absent	0.095409	GCA_025370875.1	True	0.153830	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.10~near.fna	GCA_025370785.1	0.70	0.10	near	present	0.072687	GCA_025370875.1	True	0.248170	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.20~far.fna	GCA_025370785.1	0.70	0.20	far	present	0.088993	GCA_036245865.1	False	0.200772	GCA_036245865.1	False
GCA_025370785.1~c0.70~g0.20~far.fna	GCA_025370785.1	0.70	0.20	far	absent	0.098007	GCA_025370875.1	True	0.136560	GCA_025370875.1	True
GCA_025370785.1~c0.70~g0.20~near.fna	GCA_025370785.1	0.70	0.20	near	present	0.057741	GCA_025370875.1	True	0.318569	GCA_025370875.1	True
GCA_025370785.1~c0.50~g0.00~none.fna	GCA_025370785.1	0.50	0.00	none	present	0.105187	GCA_025370875.1	True	0.165403	GCA_000317105.1	False
GCA_025370785.1~c0.50~g0.00~none.fna	GCA_025370785.1	0.50	0.00	none	absent	0.105187	GCA_025370875.1	True	0.165403	GCA_000317105.1	False
GCA_025370785.1~c0.50~g0.10~far.fna	GCA_025370785.1	0.50	0.10	far	present	0.106444	GCA_025370875.1	True	0.149322	GCA_025370875.1	True
GCA_025370785.1~c0.50~g0.10~far.fna	GCA_025370785.1	0.50	0.10	far	absent	0.106444	GCA_025370875.1	True	0.149322	GCA_025370875.1	True
GCA_025370785.1~c0.50~g0.10~near.fna	GCA_025370785.1	0.50	0.10	near	present	0.082409	GCA_025370875.1	True	0.247409	GCA_025370875.1	True
GCA_025370785.1~c0.50~g0.20~far.fna	GCA_025370785.1	0.50	0.20	far	present	0.100083	GCA_036245865.1	False	0.198148	GCA_036245865.1	False
GCA_025370785.1~c0.50~g0.20~far.fna	GCA_025370785.1	0.50	0.20	far	absent	0.108654	GCA_025370875.1	True	0.133846	GCA_000317105.1	False
GCA_025370785.1~c0.50~g0.20~near.fna	GCA_025370785.1	0.50	0.20	near	present	0.067036	GCA_025370875.1	True	0.317726	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.00~none.fna	GCA_025370785.1	0.30	0.00	none	present	0.119583	GCA_025370875.1	True	0.175925	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.00~none.fna	GCA_025370785.1	0.30	0.00	none	absent	0.119583	GCA_025370875.1	True	0.175925	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.10~far.fna	GCA_025370785.1	0.30	0.10	far	present	0.120677	GCA_025370875.1	True	0.157850	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.10~far.fna	GCA_025370785.1	0.30	0.10	far	absent	0.120677	GCA_025370875.1	True	0.157850	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.10~near.fna	GCA_025370785.1	0.30	0.10	near	present	0.098269	GCA_025370875.1	True	0.252413	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.20~far.fna	GCA_025370785.1	0.30	0.20	far	present	0.115858	GCA_036245865.1	False	0.208562	GCA_036245865.1	False
GCA_025370785.1~c0.30~g0.20~far.fna	GCA_025370785.1	0.30	0.20	far	absent	0.121798	GCA_025370875.1	True	0.142060	GCA_025370875.1	True
GCA_025370785.1~c0.30~g0.20~near.fna	GCA_025370785.1	0.30	0.20	near	present	0.081135	GCA_025370875.1	True	0.333414	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.00~none.fna	GCA_025370785.1	0.20	0.00	none	present	0.139745	GCA_025370875.1	True	0.159381	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.00~none.fna	GCA_025370785.1	0.20	0.00	none	absent	0.139745	GCA_025370875.1	True	0.159381	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.10~far.fna	GCA_025370785.1	0.20	0.10	far	present	0.140950	GCA_025370875.1	True	0.140994	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.10~far.fna	GCA_025370785.1	0.20	0.10	far	absent	0.140950	GCA_025370875.1	True	0.140994	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.10~near.fna	GCA_025370785.1	0.20	0.10	near	present	0.114780	GCA_025370875.1	True	0.245455	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.20~far.fna	GCA_025370785.1	0.20	0.20	far	present	0.129604	GCA_036245865.1	False	0.215805	GCA_036245865.1	False
GCA_025370785.1~c0.20~g0.20~far.fna	GCA_025370785.1	0.20	0.20	far	absent	0.141653	GCA_025370875.1	True	0.126482	GCA_025370875.1	True
GCA_025370785.1~c0.20~g0.20~near.fna	GCA_025370785.1	0.20	0.20	near	present	0.095965	GCA_025370875.1	True	0.333020	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.00~none.fna	GCA_025370785.1	0.10	0.00	none	present	0.165848	GCA_025370875.1	True	0.164106	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.00~none.fna	GCA_025370785.1	0.10	0.00	none	absent	0.165848	GCA_025370875.1	True	0.164106	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.10~far.fna	GCA_025370785.1	0.10	0.10	far	present	0.166759	GCA_025370875.1	True	0.143332	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.10~far.fna	GCA_025370785.1	0.10	0.10	far	absent	0.166759	GCA_025370875.1	True	0.143332	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.10~near.fna	GCA_025370785.1	0.10	0.10	near	present	0.140086	GCA_025370875.1	True	0.250961	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.20~far.fna	GCA_025370785.1	0.10	0.20	far	present	0.158630	GCA_036245865.1	False	0.209122	GCA_036245865.1	False
GCA_025370785.1~c0.10~g0.20~far.fna	GCA_025370785.1	0.10	0.20	far	absent	0.166759	GCA_025370875.1	True	0.129670	GCA_025370875.1	True
GCA_025370785.1~c0.10~g0.20~near.fna	GCA_025370785.1	0.10	0.20	near	present	0.117578	GCA_025370875.1	True	0.365277	GCA_025370875.1	True
GCA_007625205.1~c1.00~g0.00~none.fna	GCA_007625205.1	1.00	0.00	none	present	0.048228	GCA_007625155.1	True	0.362246	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.00~none.fna	GCA_007625205.1	1.00	0.00	none	absent	0.048228	GCA_007625155.1	True	0.362246	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.10~far.fna	GCA_007625205.1	1.00	0.10	far	present	0.051030	GCA_007625155.1	True	0.324225	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.10~far.fna	GCA_007625205.1	1.00	0.10	far	absent	0.051030	GCA_007625155.1	True	0.324225	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.10~near.fna	GCA_007625205.1	1.00	0.10	near	present	0.050405	GCA_007625155.1	True	0.328754	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.10~near.fna	GCA_007625205.1	1.00	0.10	near	absent	0.050405	GCA_007625155.1	True	0.328754	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.20~far.fna	GCA_007625205.1	1.00	0.20	far	present	0.054149	GCA_007625155.1	True	0.287508	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.20~far.fna	GCA_007625205.1	1.00	0.20	far	absent	0.054149	GCA_007625155.1	True	0.287508	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.20~near.fna	GCA_007625205.1	1.00	0.20	near	present	0.053037	GCA_007625155.1	True	0.294468	GCA_007625155.1	True
GCA_007625205.1~c1.00~g0.20~near.fna	GCA_007625205.1	1.00	0.20	near	absent	0.053037	GCA_007625155.1	True	0.294468	GCA_007625155.1	True
GCA_007625205.1~c0.90~g0.00~none.fna	GCA_007625205.1	0.90	0.00	none	present	0.050200	GCA_007625155.1	True	0.366628	GCA_007625155.1	True
GCA_007625205.1~c0.90~g0.00~none.fna	GCA_007625205.1	0.90	0.00	none	absent	0.050200	GCA_007625155.1	True	0.366628	GCA_007625155.1	True
