accession	taxid	organism	species_name	species_taxid	taxcheck	completeness	contamination	level	length	n_contigs	paired_gcf
GCA_044962685.1	3133425	Oceanobacter antarcticus	Oceanobacter antarcticus	3133425	Inconclusive	99.14	2.96	Contig	4581585	158	GCF_044962685.1
GCA_045032595.1	3378801	Ornithinimicrobium jinqii	Ornithinimicrobium jinqii	3378801	OK	100		Contig	3542037	77	GCF_045032595.1
GCA_045865535.1	3136601	Owariibacterium komagatae	Owariibacterium komagatae	3136601	Inconclusive	99.07	1.94	Complete Genome	3606305	1	GCF_045865535.1
GCA_046358965.1	1457	Paenalicyclobacillus cycloheptanicus	Paenalicyclobacillus cycloheptanicus	1457	OK	94.93	3.25	Scaffold	3590723	97	GCF_046358965.1
GCA_046521305.1	3390193	Oceanisphaera submarina	Oceanisphaera submarina	3390193	OK	98.98	1.35	Contig	3558569	35	GCF_046521305.1
GCA_046764005.1	3388656	Oryzobacter faecalis	Oryzobacter faecalis	3388656	OK	97.15	0.58	Scaffold	3790744	29	GCF_046764005.1
GCA_047228935.1	3142384	Ornithinibacillus jepli	Ornithinibacillus jepli	3142384	OK	99.35	0.65	Contig	3629840	15	GCF_047228935.1
GCA_047238145.1	3132293	Oceanobacillus phoenicis	Oceanobacillus phoenicis	3132293	OK	92.63	9.49	Contig	4227457	2	GCF_047238145.1
GCA_047779985.1	116718	Paenibacillus azoreducens	Paenibacillus azoreducens	116718	OK	99.72	1.05	Contig	7409411	213	GCF_047779985.1
GCA_048282545.1	3399690	Opacimonas immobilis	Opacimonas immobilis	3399690	OK	98.92	0.63	Complete Genome	2533118	1	GCF_048282545.1
GCA_048890145.1	3405419	Ornithinimicrobium pulveris	Ornithinimicrobium pulveris	3405419	OK	100	0.84	Scaffold	3416935	40	GCF_048890145.1
GCA_049856255.1	3416666	Ornithinimicrobium carbonis	Ornithinimicrobium carbonis	3416666	OK	100		Scaffold	3855740	14	GCF_049856255.1
GCA_050261105.1	3405419	Ornithinimicrobium pulveris	Ornithinimicrobium pulveris	3405419	OK	100	0.84	Complete Genome	3401821	1	GCF_050261105.1
GCA_050413655.1	211146	Paenarthrobacter nitroguajacolicus	Paenarthrobacter nitroguajacolicus	211146	OK	99.77	2.07	Contig	5128747	5	GCF_050413655.1
GCA_050433305.1	1604774	Novosphingobium gossypii	Novosphingobium gossypii	1604774	OK	96.68	4.1	Scaffold	4779878	33	GCF_050433305.1
GCA_050433565.1	545502	Ornithinibacillus bavariensis	Ornithinibacillus bavariensis	545502	OK	97.56	1.29	Scaffold	3537794	33	GCF_050433565.1
GCA_050703245.1	3416666	Ornithinimicrobium carbonis	Ornithinimicrobium carbonis	3416666	OK	79.09		Complete Genome	3831493	1	GCF_050703245.1
GCA_050821495.1	2870339	Ottowia caeni	Ottowia caeni	2870339	OK	87.25	0.51	Complete Genome	4284994	2	GCF_050821495.1
GCA_052073805.1	2008449	Ornithinimicrobium panacihumi	Ornithinimicrobium panacihumi	2008449	OK	99.44	0.84	Scaffold	3830646	51	GCF_052073805.1
GCA_054053805.1	336988	Oenococcus kitaharae	Oenococcus kitaharae	336988	OK	98.05	0.07	Contig	1832530	15	GCF_054053805.1
GCA_054511295.1	211146	Paenarthrobacter nitroguajacolicus	Paenarthrobacter nitroguajacolicus	211146	OK	99.77	1.84	Contig	5098360	19	GCF_054511295.1
GCA_054780075.1	1521118	Okibacterium endophyticum	Okibacterium endophyticum	1521118	OK	99.24	1.05	Contig	3566166	18	GCF_054780075.1
GCA_054781055.1	1665687	Oleiagrimonas citrea	Oleiagrimonas citrea	1665687	OK	99.58	0.38	Contig	3324101	12	GCF_054781055.1
GCA_055388115.1	201571	Oleidesulfovibrio vietnamensis	Oleidesulfovibrio vietnamensis	201571	Inconclusive	99.14	0.93	Complete Genome	3633309	1	GCF_055388115.1
GCA_055390085.1	211146	Paenarthrobacter nitroguajacolicus	Paenarthrobacter nitroguajacolicus	211146	OK	99.77	1.84	Complete Genome	5133410	3	GCF_055390085.1
GCA_055390555.1	760260	Oligosphaera ethanolica	Oligosphaera ethanolica	760260	OK	98.28		Complete Genome	5729291	1	GCF_055390555.1
GCA_055398085.1	370038	Oceanidesulfovibrio marinus	Oceanidesulfovibrio marinus	370038	OK	97.59	2.69	Complete Genome	4938361	1	GCF_055398085.1
GCA_055550225.1	3448377	Ornithinibacillus liuyingii	Ornithinibacillus liuyingii	3448377	Inconclusive	100	0.66	Scaffold	3801052	29	GCF_055550225.1
GCA_055808895.1	2909341	Octadecabacter dasysiphoniae	Octadecabacter dasysiphoniae	2909341	OK	85.74	8.63	Contig	3758540	38	GCF_055808895.1
GCA_055809465.1	2909342	Octadecabacter algicola	Octadecabacter algicola	2909342	OK	82.44	5.84	Contig	3448891	8	GCF_055809465.1
GCA_900078545.1	1776381	Olegusella massiliensis	Olegusella massiliensis	1776381	OK	100		Contig	1806744	2	GCF_900078545.1
GCA_900100755.1	284577	Onishia taeanensis	Onishia taeanensis	284577	OK	99.01	0.41	Scaffold	3756722	37	GCF_900100755.1
GCA_900103645.1	1527607	Oryzisolibacter propanilivorax	Oryzisolibacter propanilivorax	1527607	OK	99.33	0.51	Contig	3715915	24	GCF_900103645.1
GCA_900109555.1	658057	Pacificibacter marinus	Pacificibacter marinus	658057	OK	97.25	0.31	Scaffold	3870734	46	GCF_900109555.1
GCA_900109575.1	407022	Olivibacter domesticus	Olivibacter domesticus	407022	OK	98.54	3.22	Scaffold	6780495	25	GCF_900109575.1
GCA_900111445.1	930131	Oceanobacillus limi	Oceanobacillus limi	930131	OK	67.51	17.46	Scaffold	3913837	62	GCF_900111445.1
GCA_900111545.1	1189325	Oceanicella actignis	Oceanicella actignis	1189325	OK	97.75	0.44	Scaffold	3351072	31	GCF_900111545.1
GCA_900112925.1	684063	Paenibacillus algorifonticola	Paenibacillus algorifonticola	684063	OK	99.72	0.65	Scaffold	7468281	93	GCF_900112925.1
GCA_900114005.1	1144750	Olleya namhaensis	Olleya namhaensis	1144750	OK	92.98	4.12	Contig	3522968	36	GCF_900114005.1
GCA_900116805.1	392015	Paenalicyclobacillus macrosporangiidus	Paenalicyclobacillus macrosporangiidus	392015	OK	99.43	0.63	Scaffold	3789420	96	GCF_900116805.1
GCA_900116825.1	343013	Paenacidovorax caeni	Paenacidovorax caeni	343013	OK	99.33	0.54	Contig	4152335	115	GCF_900116825.1
GCA_900119915.1	1805478	Olsenella timonensis	Olsenella timonensis	1805478	OK	82.31	17.47	Complete Genome	2176737	1	GCF_900119915.1
GCA_900120385.1	1852385	Olsenella phocaeensis	Olsenella phocaeensis	1852385	OK	87.95	5.77	Scaffold	2276769	112	GCF_900120385.1
GCA_900129485.1	930117	Ornithinibacillus halophilus	Ornithinibacillus halophilus	930117	OK	98.06	0.54	Scaffold	3463618	112	GCF_900129485.1
GCA_900142425.1	1458307	Octadecabacter temperatus	Octadecabacter temperatus	1458307	OK	82.62	6.01	Contig	3263882	4	GCF_900142425.1
GCA_900143155.1	1189325	Oceanicella actignis	Oceanicella actignis	1189325	OK	97.75	0.44	Scaffold	3344933	37	GCF_900143155.1
GCA_900155635.1	1871033	Olsenella urininfantis	Olsenella urininfantis	1871033	OK	82.1	2.56	Scaffold	1748607	11	GCF_900155635.1
GCA_900166635.1	1926285	Oceanobacillus timonensis	Oceanobacillus timonensis	1926285	OK	79.55	20.67	Scaffold	4485339	7	GCF_900166635.1
GCA_900167095.1	64969	Oceanospirillum multiglobuliferum	Oceanospirillum multiglobuliferum	64969	OK	82.01	4.29	Scaffold	3512709	52	GCF_900167095.1
GCA_900167575.1	123320	Okibacterium fritillariae	Okibacterium fritillariae	123320	OK	98.84	0.53	Contig	3138231	4	GCF_900167575.1
GCA_900167975.1	688867	Ohtaekwangia koreensis	Ohtaekwangia koreensis	688867	OK	99.7	0.3	Scaffold	7241272	11	GCF_900167975.1
GCA_900168325.1	428990	Novosphingobium mathurense	Novosphingobium mathurense	428990	OK	97.29	2.96	Scaffold	4843551	38	GCF_900168325.1
GCA_900172325.1	745714	Oceanibacterium hippocampi	Oceanibacterium hippocampi	745714	OK	100	1.69	Contig	4833437	18	GCF_900172325.1
GCA_900176885.1	1936063	Oceanobacillus senegalensis	Oceanobacillus senegalensis	1936063	OK	67.64	19.46	Scaffold	4300368	41	GCF_900176885.1
GCA_900177815.1	1852522	Paenibacillus aquistagni	Paenibacillus aquistagni	1852522	OK	99.58	0.36	Contig	5386342	18	GCF_900177815.1
GCA_900182785.1	966	Oceanospirillum linum	Oceanospirillum linum	966	OK	87.81	4.32	Contig	3654430	21	GCF_900182785.1
GCA_900182875.1	428991	Novosphingobium panipatense	Novosphingobium panipatense	428991	OK	96.24	4.17	Scaffold	4079279	64	GCF_900182875.1
GCA_900185015.1	1655543	Octadecabacter ascidiaceicola	Octadecabacter ascidiaceicola	1655543	OK	81.99	5.57	Contig	3233060	11	GCF_900185015.1
GCA_900187175.1	28118	Odoribacter splanchnicus	Odoribacter splanchnicus	28118	OK	97.12	0.36	Complete Genome	4392177	1	GCF_900187175.1
GCA_900240305.1	2045302	Ottowia massiliensis	Ottowia massiliensis	2045302	OK	91.76	0.48	Scaffold	2830551	27	GCF_900240305.1
GCA_900327275.1	784	Orientia tsutsugamushi	Orientia tsutsugamushi	784	OK	97.52	0.42	Complete Genome	2469803	1	GCF_900327275.1
GCA_900454285.1	90244	Oligella ureolytica	Oligella ureolytica	90244	OK	98.6	11.53	Contig	2838494	2	GCF_900454285.1
GCA_900454345.1	90245	Oligella urethralis	Oligella urethralis	90245	OK	99.41	2.87	Contig	2386361	3	GCF_900454345.1
GCA_902505095.1	1130046	Oceanivirga miroungae	Oceanivirga miroungae	1130046	OK	91.82	3.84	Contig	1356983	3	GCF_902505095.1
GCA_902703175.1	2761496	Occultella aeris	Occultella aeris	2761496	OK	100	0.84	Scaffold	5864304	81	GCF_902703175.1
GCA_910594985.1	2849866	Paenibacillus allorhizosphaerae	Paenibacillus allorhizosphaerae	2849866	OK	99.44	2.37	Scaffold	8178005	125	GCF_910594985.1
GCA_927798115.1	2905649	Paenibacillus auburnensis	Paenibacillus auburnensis	2905649	OK	99.11	2.06	Scaffold	6439446	28	GCF_927798115.1
GCA_927798215.1	2905648	Paenibacillus allorhizoplanae	Paenibacillus allorhizoplanae	2905648	OK	99.72	1.27	Scaffold	8162691	78	GCF_927798215.1
GCA_943193115.1	2941515	Otoolea muris	Otoolea muris	2941515	OK	98.12	2.92	Contig	5475820	161	GCF_943193115.1
GCA_943193135.1	2941335	Odoribacter lunatus	Odoribacter lunatus	2941335	OK	70.97	4.87	Contig	2631876	67	GCF_943193135.1
GCA_965137535.1	2761496	Occultella aeris	Occultella aeris	2761496	OK	99.16	0.84	Scaffold	5862812	87	GCF_965137535.1
GCA_977012275.1	3416666	Ornithinimicrobium carbonis	Ornithinimicrobium carbonis	3416666	OK	99.24		Complete Genome	3830306	1	GCF_977012275.1
GCA_000179615.1	717606	Paenibacillus curdlanolyticus YK9	Paenibacillus curdlanolyticus	59840	OK	99.72		Scaffold	5452778	52	GCF_000179615.1
GCA_000183135.1	694427	Paludibacter propionicigenes WB4	Paludibacter propionicigenes	185300	OK	98.88	1.87	Complete Genome	3685504	1	GCF_000183135.1
GCA_000217775.1	1036171	Paenibacillus polymyxa ATCC 842	Paenibacillus polymyxa	1406	OK	99.72	0.58	Scaffold	5903580	65	GCF_000217775.1
GCA_000224945.2	1073571	Paenibacillus riograndensis SBR5	Paenibacillus riograndensis	483937	OK	98.31	3.06	Contig	7407224	1976	GCF_000224945.1
GCA_000236805.2	1087481	Paenibacillus peoriae KCTC 3763	Paenibacillus peoriae	59893	OK	98.98	0.56	Scaffold	5771987	49	GCF_000236805.1
GCA_000285515.1	1033743	Paenibacillus senegalensis JC66	Paenibacillus senegalensis	1465766	OK	96.64	1.22	Scaffold	5614755	197	GCF_000285515.1
GCA_000315235.1	1212764	Paenibacillus popilliae ATCC 14706	Paenibacillus popilliae	78057	OK	94.53	0.11	Contig	3833720	583	GCF_000315235.1
GCA_000316285.1	1173684	Paenibacillus sonchi X19-5	Paenibacillus sonchi	373687	OK	98.07	2.32	Contig	7507281	1327	GCF_000316285.1
GCA_000346635.1	1434724	Paenibacillus shenyangensis	Paenibacillus shenyangensis	1434724	Inconclusive	88	1.61	Contig	5485683	67	GCF_000346635.1
GCA_000348945.1	1276920	Paeniglutamicibacter gangotriensis Lz1y	Paeniglutamicibacter gangotriensis	254787	OK	99.4	1.77	Contig	4319900	20	GCF_000348945.1
GCA_000374825.1	1122925	Paenibacillus sanguinis 2301083 = DSM 16941	Paenibacillus sanguinis	225906	OK	99.72		Scaffold	4804136	38	GCF_000374825.1
GCA_000374845.1	1122927	Paenibacillus terrigena DSM 21567	Paenibacillus terrigena	369333	OK	99.72		Scaffold	6361561	42	GCF_000374845.1
GCA_000377505.1	1122921	Paenibacillus massiliensis 2301065 = DSM 16942	Paenibacillus massiliensis	225917	OK	99.17		Scaffold	6385800	38	GCF_000377505.1
GCA_000378385.1	1122917	Paenibacillus daejeonensis DSM 15491	Paenibacillus daejeonensis	135193	OK	99.72		Scaffold	7464058	53	GCF_000378385.1
GCA_000380965.1	1122919	Paenibacillus ginsengihumi DSM 21568	Paenibacillus ginsengihumi	431596	OK	98.89		Scaffold	5675308	154	GCF_000380965.1
GCA_000381905.1	1122918	Paenibacillus fonticola DSM 21315	Paenibacillus fonticola	379896	OK	99.17		Scaffold	6309271	77	GCF_000381905.1
GCA_000382365.1	1122929	Pannonibacter phragmitetus DSM 14782	Pannonibacter phragmitetus	121719	OK	98.84		Scaffold	4783755	46	GCF_000382365.1
GCA_000422465.1	1122920	Paenibacillus harenae DSM 16969	Paenibacillus harenae	306543	OK	99.72	0.56	Scaffold	6968425	36	GCF_000422465.1
GCA_000422485.1	1122923	Paenibacillus pasadenensis DSM 19293	Paenibacillus pasadenensis	217090	OK	99.58		Scaffold	5714182	85	GCF_000422485.1
GCA_000422505.1	1122924	Paenibacillus pinihumi DSM 23905 = JCM 16419	Paenibacillus pinihumi	669462	OK	99.54		Scaffold	6760575	56	GCF_000422505.1
GCA_000422925.1	1122928	Paludibacterium yongneupense DSM 18731	Paludibacterium yongneupense	400061	OK	98.58	2.13	Scaffold	4332940	62	GCF_000422925.1
GCA_000425125.1	1122926	Paenibacillus taiwanensis DSM 18679	Paenibacillus taiwanensis	401638	OK	99.58		Scaffold	5247653	36	GCF_000425125.1
GCA_000426545.1	1122922	Paenibacillus massiliensis subsp. panacisoli DSM 21345	Paenibacillus massiliensis	225917	OK	99.72		Scaffold	6326414	56	GCF_000426545.1
GCA_000513275.1	1243662	Paenibacillus gorillae	Paenibacillus gorillae	1243662	OK	97.82	0.65	Contig	6257966	167	GCF_000513275.1
GCA_000518785.1	1336235	Paenirhizobium selenitireducens ATCC BAA-1503	Paenirhizobium selenitireducens	448181	OK	99.56	0.07	Scaffold	4976687	32	GCF_000518785.1
GCA_000520635.1	1333534	Paenibacillus durus ATCC 35681	Paenibacillus durus	44251	OK	96.82	3.18	Contig	5360914	821	GCF_000520635.1
GCA_000520655.1	1333858	Paenibacillus graminis RSA19	Paenibacillus graminis	189425	OK	97.88	2.53	Contig	6986194	795	GCF_000520655.1
GCA_000520715.1	1333860	Paenibacillus zanthoxyli JH29	Paenibacillus zanthoxyli	369399	OK	97.03	2.55	Contig	5045676	714	GCF_000520715.1
GCA_000520735.1	1333861	Paenibacillus forsythiae T98	Paenibacillus forsythiae	365616	OK	94.4	3.61	Contig	5081302	896	GCF_000520735.1
GCA_000520815.1	1155954	Paenibacillus maysiensis	Paenibacillus maysiensis	1155954	OK	98.87	0.56	Contig	5617999	350	GCF_000520815.1
GCA_000525955.1	1265845	Paenilisteria weihenstephanensis FSL R9-0317	Paenilisteria weihenstephanensis	1006155	OK	85.98	4.61	Contig	3374439	71	GCF_000525955.1
GCA_000525995.1	1265816	Paenilisteria riparia FSL S10-1204	Paenilisteria riparia	1494964	OK	82.85	10.49	Contig	3291042	69	GCF_000525995.1
GCA_000576305.1	1236976	Paenibacillus pini JCM 16418	Paenibacillus pini	669461	OK	86.45		Contig	4961801	68	GCF_000576305.1
GCA_000598065.1	1380763	Paenibacillus darwinianus	Paenibacillus darwinianus	1380763	OK	86.75	0.73	Scaffold	3004450	285	GCF_000598065.1
GCA_000612505.1	1268072	Paenibacillus sabinae T27	Paenibacillus sabinae	365617	OK	98.28	2.54	Complete Genome	5270569	1	GCF_000612505.1
GCA_000661975.1	1378093	Pantoea ananatis LMG 2665	Pantoea ananatis	553	OK	98.79	1.75	Scaffold	4980494	28	GCF_000661975.1
GCA_000710035.2	1378093	Pantoea ananatis LMG 2665	Pantoea ananatis	553	OK	98.03	1.7	Contig	4938703	17	GCF_000710035.2
GCA_000722545.1	1501230	Paenibacillus tyrphae	Paenibacillus tyrphae	1501230	OK	99.72	0.48	Contig	8033195	100	GCF_000722545.1
GCA_000739915.1	1220558	Paenibacillus chitinolyticus NBRC 15660	Paenibacillus chitinolyticus	79263	OK	99.61	0.19	Contig	6432241	32	GCF_000739915.1
GCA_000740785.1	1105367	Paenirhodobacter enshiensis	Paenirhodobacter enshiensis	1105367	OK	98.5	0.15	Contig	3439591	112	GCF_000740785.1
GCA_000743715.1	1530186	Palleronia rufa	Palleronia rufa	1530186	OK	98.86	0.25	Contig	3849771	33	GCF_000743715.1
GCA_000746875.1	44252	Paenibacillus macerans	Paenibacillus macerans	44252	OK	99.72		Scaffold	7337750	64	GCF_000746875.1
GCA_000756615.1	44251	Paenibacillus durus	Paenibacillus durus	44251	Inconclusive	99.11	3.3	Complete Genome	6053498	2	GCF_000756615.1
GCA_000757885.1	268407	Paenibacillus wynnii	Paenibacillus wynnii	268407	OK	99.11	2.78	Contig	5988861	3	GCF_000757885.1
GCA_000758665.1	160799	Paenibacillus borealis	Paenibacillus borealis	160799	OK	99.17	2.48	Complete Genome	8156808	1	GCF_000758665.1
GCA_000758685.1	169760	Paenibacillus stellifer	Paenibacillus stellifer	169760	OK	99.11	2.52	Complete Genome	5658798	1	GCF_000758685.1
GCA_000758705.1	189425	Paenibacillus graminis	Paenibacillus graminis	189425	OK	99.11	1.87	Complete Genome	7166464	1	GCF_000758705.1
GCA_000758725.1	189426	Paenibacillus odorifer	Paenibacillus odorifer	189426	OK	98.61	1.37	Complete Genome	6812473	1	GCF_000758725.1
GCA_000766145.1	1497681	Paenilisteria newyorkensis	Paenilisteria newyorkensis	1497681	OK	92.89	5.3	Contig	3515436	47	GCF_000766145.1
GCA_000767615.3	93220	Pandoraea pnomenusa	Pandoraea pnomenusa	93220	OK	97.1	0.11	Complete Genome	5389285	1	GCF_000767615.3
GCA_000807775.2	1891094	Pandoraea fibrosis	Pandoraea fibrosis	1891094	OK	98.5	0.07	Complete Genome	5592065	1	GCF_000807775.2
GCA_000814845.2	93222	Pandoraea sputorum	Pandoraea sputorum	93222	OK	99.35	0.04	Complete Genome	5742997	1	GCF_000814845.2
GCA_000815105.2	93221	Pandoraea pulmonicola	Pandoraea pulmonicola	93221	OK	98.74		Complete Genome	5867621	1	GCF_000815105.2
GCA_000934605.2	656178	Pandoraea vervacti	Pandoraea vervacti	656178	OK	97.75	0.06	Complete Genome	5736282	2	GCF_000934605.2
GCA_000961095.1	1126833	Paenibacillus beijingensis	Paenibacillus beijingensis	1126833	OK	99.72	1.19	Complete Genome	5749967	1	GCF_000961095.1
GCA_000971965.1	1567107	Paenibacillus wulumuqiensis	Paenibacillus wulumuqiensis	1567107	OK	88	1.06	Scaffold	5240711	41	GCF_000971965.1
GCA_000971985.1	1567106	Paenibacillus dauci	Paenibacillus dauci	1567106	Inconclusive	88	1.06	Scaffold	5449237	26	GCF_000971985.1
GCA_000972785.3	573737	Pandoraea oxalativorans	Pandoraea oxalativorans	573737	OK	98.58	0.04	Complete Genome	6500731	5	GCF_000972785.3
GCA_000981585.1	1073571	Paenibacillus riograndensis SBR5	Paenibacillus riograndensis	483937	OK	98.56	1.87	Complete Genome	7919576	1	GCF_000981585.1
GCA_000993825.1	1333534	Paenibacillus durus ATCC 35681	Paenibacillus durus	44251	OK	99.11	2.54	Complete Genome	5575484	1	GCF_000993825.1
GCA_001012825.2	1306852	Paenibacillus etheri	Paenibacillus etheri	1306852	OK	98.61	1.48	Scaffold	6634505	139	GCF_001012825.1
GCA_001017775.3	445709	Pandoraea thiooxydans	Pandoraea thiooxydans	445709	OK	98.68	1.79	Complete Genome	4464186	1	GCF_001017775.3
GCA_001029105.3	656179	Pandoraea faecigallinarum	Pandoraea faecigallinarum	656179	OK	98.48	0.32	Complete Genome	5732664	3	GCF_001029105.3
GCA_001049515.1	93218	Pandoraea apista	Pandoraea apista	93218	OK	98.15	0.99	Contig	5537404	44	GCF_001049515.1
GCA_001277345.1	1705565	Paenibacillus solani	Paenibacillus solani	1705565	OK	99.72	0.93	Scaffold	6198757	63	GCF_001277345.1
GCA_001280595.1	1705561	Paenibacillus xylanivorans	Paenibacillus xylanivorans	1705561	OK	98.61	1.22	Scaffold	7087286	272	GCF_001280595.1
GCA_001312305.1	1122924	Paenibacillus pinihumi DSM 23905 = JCM 16419	Paenibacillus pinihumi	669462	OK	55.87	1.06	Contig	6743471	106	GCF_001312305.1
GCA_001315125.1	1236976	Paenibacillus pini JCM 16418	Paenibacillus pini	669461	OK	86.45		Contig	4961801	68	GCF_001315125.1
GCA_001368795.1	1232431	Paenibacillus ihuae	Paenibacillus ihuae	1232431	OK	93.42	2.43	Scaffold	6725359	600	GCF_001368795.1
GCA_001373415.1	1527293	Paenibacillus dakarensis	Paenibacillus dakarensis	1527293	OK	100	0.35	Contig	4569428	102	GCF_001373415.1
GCA_001403875.1	687436	Paenibacillus ihumii	Paenibacillus ihumii	687436	OK	98.22		Scaffold	5924107	16	GCF_001403875.1
GCA_001418225.1	466044	Pannonibacter indicus	Pannonibacter indicus	466044	OK	99.04		Scaffold	4170676	38	GCF_001418225.1
GCA_001421015.2	1616788	Paenibacillus bovis	Paenibacillus bovis	1616788	OK	87.89	1.75	Complete Genome	5517199	2	GCF_001421015.2
GCA_001465545.3	93219	Pandoraea norimbergensis	Pandoraea norimbergensis	93219	OK	99.04	0.58	Complete Genome	6167370	1	GCF_001465545.3
GCA_001465595.2	93218	Pandoraea apista	Pandoraea apista	93218	OK	98.31	0.99	Complete Genome	5571260	2	GCF_001465595.2
GCA_001486505.1	1720296	Paenibacillus rubinfantis	Paenibacillus rubinfantis	1720296	OK	98.38	1.15	Scaffold	5370356	25	GCF_001486505.1
GCA_001486585.1	1737426	Paenibacillus senegalimassiliensis	Paenibacillus senegalimassiliensis	1737426	OK	99.72	0.2	Scaffold	5059704	17	GCF_001486585.1
GCA_001514495.1	1349782	Paenibacillus pabuli NBRC 13638	Paenibacillus pabuli	1472	OK	99.72	1.22	Contig	7329063	63	GCF_001514495.1
GCA_001517385.1	466044	Pannonibacter indicus	Pannonibacter indicus	466044	OK	99.04		Scaffold	4170676	38	GCF_001517385.1
GCA_001546055.1	682956	Paenibacillus jilunlii	Paenibacillus jilunlii	682956	OK	98.83	1.43	Contig	7076180	124	GCF_001546055.1
GCA_001598475.1	1220570	Pantoea agglomerans NBRC 102470	Pantoea agglomerans	549	OK	98.33	0.28	Contig	4652040	25	GCF_001598475.1
GCA_001618385.1	681398	Paludibacter jiangxiensis	Paludibacter jiangxiensis	681398	OK	99.25	0.75	Contig	3664884	4	GCF_001618385.1
GCA_001632305.1	59843	Paenibacillus glucanolyticus	Paenibacillus glucanolyticus	59843	OK	99.72	0.2	Chromosome	5897585	1	GCF_001632305.1
GCA_001637165.1	1468	Paenibacillus macquariensis subsp. macquariensis	Paenibacillus macquariensis	948756	OK	98.78	0.57	Contig	6272436	82	GCF_001637165.1
GCA_001637205.1	494026	Paenibacillus glacialis	Paenibacillus glacialis	494026	OK	98.78	0.22	Contig	5709291	80	GCF_001637205.1
GCA_001637335.1	1763538	Paenibacillus crassostreae	Paenibacillus crassostreae	1763538	OK	98.8	0.02	Contig	4645560	45	GCF_001637335.1
GCA_001644605.1	1178515	Paenibacillus swuensis	Paenibacillus swuensis	1178515	OK	99.06	0.56	Complete Genome	5012599	1	GCF_001644605.1
GCA_001653565.1	1850517	Paenibacillus oryzisoli	Paenibacillus oryzisoli	1850517	OK	99.72		Scaffold	8311090	113	GCF_001653565.1
GCA_001675045.1	1844972	Paenibacillus oryzae	Paenibacillus oryzae	1844972	OK	99.03		Scaffold	5905968	89	GCF_001675045.1
GCA_001685395.1	1462996	Paenibacillus yonginensis	Paenibacillus yonginensis	1462996	OK	98.63	0.67	Complete Genome	4985901	1	GCF_001685395.1
GCA_001700435.1	512399	Paenibacillus pectinilyticus	Paenibacillus pectinilyticus	512399	OK	99.72		Scaffold	7877932	43	GCF_001700435.1
GCA_001721045.1	1886670	Paenibacillus nuruki	Paenibacillus nuruki	1886670	OK	87.73	1.92	Contig	5360385	116	GCF_001721045.1
GCA_001857945.1	1763538	Paenibacillus crassostreae	Paenibacillus crassostreae	1763538	OK	98.69	0.02	Complete Genome	4757181	4	GCF_001857945.1
GCA_001909055.1	1349432	Paenibacillus helianthi	Paenibacillus helianthi	1349432	OK	99.11	1.31	Contig	7118381	124	GCF_001909055.1
GCA_001931675.1	445709	Pandoraea thiooxydans	Pandoraea thiooxydans	445709	OK	98.68	1.79	Complete Genome	4464185	1	GCF_001931675.1
GCA_001939075.1	650093	Paenisporosarcina indica	Paenisporosarcina indica	650093	OK	97.44	3.22	Contig	3610334	19	GCF_001939075.1
GCA_001956985.1	1387353	Paludisphaera borealis	Paludisphaera borealis	1387353	OK	97.14	4.04	Complete Genome	7651896	3	GCF_001956985.1
GCA_002003265.1	147375	Paenibacillus larvae subsp. larvae	Paenibacillus larvae	1464	OK	96.85		Complete Genome	4289950	1	GCF_002003265.1
GCA_002021565.1	1324314	Paenibacillus selenitireducens	Paenibacillus selenitireducens	1324314	OK	99.17	0.14	Contig	6890642	44	GCF_002021565.1
GCA_002027705.1	1469647	Paenibacillus ferrarius	Paenibacillus ferrarius	1469647	OK	99.17		Scaffold	9184342	75	GCF_002027705.1
GCA_002077695.1	1964541	Pantoea latae	Pantoea latae	1964541	OK	97.37	3.95	Contig	4960415	83	GCF_002077695.1
GCA_002095305.1	472694	Pantoea brenneri	Pantoea brenneri	472694	OK	88.95	1.34	Contig	4933175	241	GCF_002095305.1
GCA_002095315.1	472705	Pantoea conspicua	Pantoea conspicua	472705	OK	88.99	1.15	Contig	4308858	128	GCF_002095315.1
GCA_002095375.1	470932	Pantoea deleyi	Pantoea deleyi	470932	OK	89.04	1.1	Contig	4613848	361	GCF_002095375.1
GCA_002095385.1	472693	Pantoea eucrina	Pantoea eucrina	472693	OK	91.6	1.27	Contig	3892376	109	GCF_002095385.1
GCA_002095465.1	1076549	Pantoea rodasii	Pantoea rodasii	1076549	OK	84.65	1.89	Contig	5751456	86	GCF_002095465.1
GCA_002095475.1	1076550	Pantoea rwandensis	Pantoea rwandensis	1076550	OK	94.52	6.06	Contig	5775402	69	GCF_002095475.1
GCA_002095535.1	55209	Pantoea cypripedii	Pantoea cypripedii	55209	OK	98.65	3.48	Contig	6553825	3	GCF_002095535.1
GCA_002095545.1	574096	Pantoea allii	Pantoea allii	574096	OK	86.76	2.36	Contig	5010680	92	GCF_002095545.1
GCA_002095575.1	472695	Pantoea septica	Pantoea septica	472695	OK	93.13	3.03	Contig	4308724	89	GCF_002095575.1
GCA_002101395.1	1891675	Pantoea alhagi	Pantoea alhagi	1891675	OK	93.57	3.81	Complete Genome	4316301	2	GCF_002101395.1
GCA_002161855.1	49283	Paenibacillus thiaminolyticus	Paenibacillus thiaminolyticus	49283	OK	99.11	0.62	Contig	6537383	47	GCF_002161855.1
